# Assembly Statistics Report
# Assembly name:  ASM982717v1
# Organism name:  Solanum tuberosum (potato)
# Infraspecific name:  cultivar=MSH/14-112
# Taxid:          4113
# BioSample:      SAMN12734630
# BioProject:     PRJNA565113
# Submitter:      Centre for Agricultural Bioinformatics (CABin), ICAR-IASRI, New Delhi
# Date:           2020-01-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: CLC bio Genomic Workbench v. ver 9.0
# Expected final version: no
# Reference guided assembly: PGSC_DM_V403
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_009827175.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009827185.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	724882420
all	all	all	all	spanned-gaps	160847
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	160859
all	all	all	all	contig-N50	16372
all	all	all	all	contig-L50	10617
all	all	all	all	total-gap-length	111418795
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	12
all	all	all	all	component-count	12
Primary Assembly	all	all	all	total-length	724882420
Primary Assembly	all	all	all	ungapped-length	613463625
Primary Assembly	all	all	all	spanned-gaps	160847
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	724882420
Primary Assembly	all	all	assembled-molecule	ungapped-length	613463625
Primary Assembly	all	all	assembled-molecule	spanned-gaps	160847
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	88648484
Primary Assembly	1	Chromosome	all	ungapped-length	75029213
Primary Assembly	1	Chromosome	all	spanned-gaps	20787
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	88648484
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	75029213
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	20787
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	48610271
Primary Assembly	2	Chromosome	all	ungapped-length	40211235
Primary Assembly	2	Chromosome	all	spanned-gaps	17027
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	48610271
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	40211235
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	17027
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	62282962
Primary Assembly	3	Chromosome	all	ungapped-length	53047962
Primary Assembly	3	Chromosome	all	spanned-gaps	9989
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	62282962
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	53047962
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	9989
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	72170609
Primary Assembly	4	Chromosome	all	ungapped-length	58254024
