# Assembly Statistics Report
# Assembly name:  Tianlong1
# Organism name:  Glycine max (soybean)
# Infraspecific name:  cultivar=Tianlong1
# Taxid:          3847
# BioSample:      SAMN15516064
# BioProject:     PRJNA645754
# Submitter:      Southern University of Science and Technology
# Date:           2020-11-04
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACDZO01
# Assembly method: Canu v. 2.0
# Expected final version: no
# Genome coverage: 80.0x
# Sequencing technology: PacBio Sequel II
# GenBank assembly accession: GCA_015227745.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015227825.1		Primary Assembly
## GCA_015227845.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1020982885
all	all	all	all	spanned-gaps	963
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	685
all	all	all	all	scaffold-N50	51250975
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	46580729
all	all	all	all	scaffold-N90	43334608
all	all	all	all	contig-count	1648
all	all	all	all	contig-N50	4078305
all	all	all	all	contig-L50	68
all	all	all	all	total-gap-length	481500
all	all	all	all	molecule-count	21
all	all	all	all	top-level-count	685
all	all	all	all	component-count	685
Primary Assembly	all	all	all	total-length	1018478377
Primary Assembly	all	all	all	ungapped-length	1017996877
Primary Assembly	all	all	all	scaffold-count	653
Primary Assembly	all	all	all	scaffold-N50	51250975
Primary Assembly	all	all	all	spanned-gaps	963
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	1002369500
Primary Assembly	all	all	assembled-molecule	ungapped-length	1001904500
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	51250975
Primary Assembly	all	all	assembled-molecule	spanned-gaps	930
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	16108877
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	16092377
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	633
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	38765
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	33
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	59281693
Primary Assembly	1	Chromosome	all	ungapped-length	59259193
