# Assembly Statistics Report
# Assembly name:  ASM972705v1
# Organism name:  Benincasa hispida (eudicots)
# Infraspecific name:  cultivar=B227
# Taxid:          102211
# BioSample:      SAMN08364809
# BioProject:     PRJNA430006
# Submitter:      Chinese Academy of Agricultural Sciences
# Date:           2019-12-03
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WEIL01
# Assembly method: AllPaths v. ALLPATHS-LG-44837
# Expected final version: no
# Genome coverage: 50.0x
# Sequencing technology: Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_009727055.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009727115.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	912951219
all	all	all	all	spanned-gaps	13145
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1791
all	all	all	all	scaffold-N50	69945952
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	62154845
all	all	all	all	scaffold-N90	51948642
all	all	all	all	contig-count	14936
all	all	all	all	contig-N50	144985
all	all	all	all	contig-L50	1889
all	all	all	all	total-gap-length	14764454
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	1791
all	all	all	all	component-count	1791
Primary Assembly	all	all	all	total-length	912951219
Primary Assembly	all	all	all	ungapped-length	898186765
Primary Assembly	all	all	all	scaffold-count	1791
Primary Assembly	all	all	all	scaffold-N50	69945952
Primary Assembly	all	all	all	spanned-gaps	13145
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	859310342
Primary Assembly	all	all	assembled-molecule	ungapped-length	846144939
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	69945952
Primary Assembly	all	all	assembled-molecule	spanned-gaps	11953
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	53640877
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	52041826
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1779
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	511846
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1192
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	96417420
Primary Assembly	1	Chromosome	all	ungapped-length	95059740
