# Assembly Statistics Report
# Assembly name:  Zm-NC358-REFERENCE-NAM-1.0
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=NC358
# Taxid:          4577
# BioSample:      SAMEA5313317
# BioProject:     PRJEB31061
# Submitter:      MaizeGDB
# Date:           2020-03-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CABHKZ01
# Genome coverage: 71x
# GenBank assembly accession: GCA_902167035.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902167034.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2227419732
all	all	all	all	spanned-gaps	688
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1313
all	all	all	all	scaffold-N50	222100525
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	177422635
all	all	all	all	scaffold-N90	156182245
all	all	all	all	contig-count	2001
all	all	all	all	contig-N50	23501583
all	all	all	all	contig-L50	28
all	all	all	all	total-gap-length	3893437
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	1313
all	all	all	all	component-count	1335
Primary Assembly	all	all	all	total-length	2227419732
Primary Assembly	all	all	all	ungapped-length	2223526295
Primary Assembly	all	all	all	scaffold-count	1313
Primary Assembly	all	all	all	scaffold-N50	222100525
Primary Assembly	all	all	all	spanned-gaps	688
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2126562818
Primary Assembly	all	all	assembled-molecule	ungapped-length	2123115899
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	222100525
Primary Assembly	all	all	assembled-molecule	spanned-gaps	659
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	100856914
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	100410396
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1303
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	88519
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	29
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
