# Assembly Statistics Report
# Assembly name:  SLYMIC
# Organism name:  Solanum lycopersicum (tomato)
# Infraspecific name:  cultivar=Micro-Tom
# Taxid:          4081
# BioSample:      SAMN12253553
# BioProject:     PRJNA553986
# Submitter:      INPT
# Date:           2020-04-17
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAXDC01
# Assembly method: CANU v. 1.5; IRYS (Bionano optical map) v. JUN 2017; ARCS (linked read - Chromium 10X) v. 1.0
# Expected final version: yes
# Reference guided assembly: GCA_000188115.2
# Genome coverage: 70.0x
# Sequencing technology: PacBio RSII; Illumina HiSeq (chromium 10X); Bionano optical mapping
# GenBank assembly accession: GCA_012431665.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_012431675.1		Primary Assembly
## GCA_012431685.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	812994249
all	all	all	all	spanned-gaps	1322
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	391
all	all	all	all	scaffold-N50	65982409
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	63465527
all	all	all	all	scaffold-N90	56289049
all	all	all	all	contig-count	1713
all	all	all	all	contig-N50	3383282
all	all	all	all	contig-L50	67
all	all	all	all	total-gap-length	18781567
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	391
all	all	all	all	component-count	391
Primary Assembly	all	all	all	total-length	812522230
Primary Assembly	all	all	all	ungapped-length	793740663
Primary Assembly	all	all	all	scaffold-count	386
Primary Assembly	all	all	all	scaffold-N50	65982409
Primary Assembly	all	all	all	spanned-gaps	1322
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	791327130
Primary Assembly	all	all	assembled-molecule	ungapped-length	772545563
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	65982409
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1322
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	21195100
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	21195100
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	374
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	63316
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	94499052
Primary Assembly	1	Chromosome	all	ungapped-length	91537007
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	94499052
Primary Assembly	1	Chromosome	all	spanned-gaps	154
