# Assembly Statistics Report
# Assembly name:  Qing
# Organism name:  Raphanus sativus (radish)
# Taxid:          3726
# BioSample:      SAMEA6601836
# BioProject:     PRJEB37015
# Submitter:      Hubei Academy of Agricultural Sciences
# Date:           2020-03-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CADDZY01
# Genome coverage: 258x
# GenBank assembly accession: GCA_902824885.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902824884.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	440317669
all	all	all	all	spanned-gaps	1030
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1034
all	all	all	all	scaffold-N50	43617977
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	32979400
all	all	all	all	scaffold-N90	310400
all	all	all	all	contig-count	2064
all	all	all	all	contig-N50	8847209
all	all	all	all	contig-L50	14
all	all	all	all	total-gap-length	103000
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	1034
all	all	all	all	component-count	1034
Primary Assembly	all	all	all	total-length	440317669
Primary Assembly	all	all	all	ungapped-length	440214669
Primary Assembly	all	all	all	scaffold-count	1034
Primary Assembly	all	all	all	scaffold-N50	43617977
Primary Assembly	all	all	all	spanned-gaps	1030
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	376143532
Primary Assembly	all	all	assembled-molecule	ungapped-length	376091432
Primary Assembly	all	all	assembled-molecule	scaffold-count	9
Primary Assembly	all	all	assembled-molecule	scaffold-N50	44034337
Primary Assembly	all	all	assembled-molecule	spanned-gaps	521
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	64174137
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	64123237
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1025
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	136000
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	509
