# Assembly Statistics Report
# Assembly name:  Tetep-1.0_genome
# Organism name:  Oryza sativa (rice)
# Infraspecific name:  cultivar=Tetep
# Taxid:          4530
# BioSample:      SAMN09694248
# BioProject:     PRJNA482013
# Submitter:      Nanjing University,China
# Date:           2019-03-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QQAJ01
# Assembly method: Canu v. 1.4
# Expected final version: no
# Genome coverage: 148.0x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_004348155.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004348165.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	415392545
all	all	all	all	spanned-gaps	748
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	367
all	all	all	all	scaffold-N50	28085715
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	22683977
all	all	all	all	scaffold-N90	1047824
all	all	all	all	contig-count	1115
all	all	all	all	contig-N50	927705
all	all	all	all	contig-L50	133
all	all	all	all	total-gap-length	13667673
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	367
all	all	all	all	component-count	367
Primary Assembly	all	all	all	total-length	415392545
Primary Assembly	all	all	all	ungapped-length	401724872
Primary Assembly	all	all	all	scaffold-count	367
Primary Assembly	all	all	all	scaffold-N50	28085715
Primary Assembly	all	all	all	spanned-gaps	748
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	346548047
Primary Assembly	all	all	assembled-molecule	ungapped-length	332880374
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	29939919
Primary Assembly	all	all	assembled-molecule	spanned-gaps	748
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	68844498
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	68844498
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	355
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	847112
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	37502731
Primary Assembly	1	Chromosome	all	ungapped-length	36161966
