# Assembly Statistics Report
# Assembly name:  A188Ref1
# Organism name:  Zea mays (maize)
# Isolate:  Zm00056a
# Taxid:          4577
# BioSample:      SAMN15048685
# BioProject:     PRJNA635654
# Submitter:      Kansas State University
# Date:           2020-09-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JABWIA01
# Assembly method: Canu v. 1.9
# Expected final version: yes
# Genome coverage: 90.0x
# Sequencing technology: Oxford Nanopore MinION; Illumina HiSeq
# GenBank assembly accession: GCA_014529475.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014529485.1		Primary Assembly
## GCA_014529495.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2246851412
all	all	all	all	spanned-gaps	856
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	998
all	all	all	all	scaffold-N50	229324730
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	181596323
all	all	all	all	scaffold-N90	153829095
all	all	all	all	contig-count	1854
all	all	all	all	contig-N50	5994828
all	all	all	all	contig-L50	89
all	all	all	all	total-gap-length	11127382
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	998
all	all	all	all	component-count	998
Primary Assembly	all	all	all	total-length	2246185570
Primary Assembly	all	all	all	ungapped-length	2235058188
Primary Assembly	all	all	all	scaffold-count	996
Primary Assembly	all	all	all	scaffold-N50	229324730
Primary Assembly	all	all	all	spanned-gaps	856
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2153265056
Primary Assembly	all	all	assembled-molecule	ungapped-length	2142400975
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	229324730
Primary Assembly	all	all	assembled-molecule	spanned-gaps	843
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	92920514
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	92657213
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	986
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	111027
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	13
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	307989483
Primary Assembly	1	Chromosome	all	ungapped-length	307016365
