# Assembly Statistics Report
# Assembly name:  ipoBat4
# Organism name:  Ipomoea batatas (sweet potato)
# Infraspecific name:  cultivar=Taizhong6
# Taxid:          4120
# BioSample:      SAMN04254013
# BioProject:     PRJNA301667
# Submitter:      Max Planck Institute Molecular Genetics
# Date:           2017-10-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NXFB01
# Assembly method: Newbler v. 3.0; PLANTUS v. 1.0; Ranbow v. 1.0; SSPACE v. 3.0
# Expected final version: no
# Genome coverage: 67.0x
# Sequencing technology: Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002525835.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002528675.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	837013208
all	all	all	all	spanned-gaps	152259
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	28461
all	all	all	all	scaffold-N50	41463214
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	32277352
all	all	all	all	scaffold-N90	16929
all	all	all	all	contig-count	180720
all	all	all	all	contig-N50	6504
all	all	all	all	contig-L50	34201
all	all	all	all	total-gap-length	100947607
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	28461
all	all	all	all	component-count	28461
Primary Assembly	all	all	all	total-length	837013208
Primary Assembly	all	all	all	ungapped-length	736065601
Primary Assembly	all	all	all	scaffold-count	28461
Primary Assembly	all	all	all	scaffold-N50	41463214
Primary Assembly	all	all	all	spanned-gaps	152259
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	633423954
Primary Assembly	all	all	assembled-molecule	ungapped-length	550161167
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	42661896
Primary Assembly	all	all	assembled-molecule	spanned-gaps	116665
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	203589254
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	185904434
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	28446
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	32866
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	35594
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	36025488
Primary Assembly	1	Chromosome	all	ungapped-length	31471105
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	36025488
Primary Assembly	1	Chromosome	all	spanned-gaps	6559
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
