# Assembly Statistics Report
# Assembly name:  NAFU_Zjuj_v2.0
# Organism name:  Ziziphus jujuba (common jujube)
# Infraspecific name:  cultivar=Junzao
# Taxid:          326968
# BioSample:      SAMN04349627
# BioProject:     PRJNA306374
# Submitter:      Jujube genome sequencing
# Date:           2020-02-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LPXJ02
# Assembly method: FALCON-Unzip v. DEC-2018
# Expected final version: yes
# Genome coverage: 113.06x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_001835785.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001835795.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	362583438
all	all	all	all	spanned-gaps	114
all	all	all	all	unspanned-gaps	108
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	155
all	all	all	all	scaffold-N50	4375035
all	all	all	all	scaffold-L50	32
all	all	all	all	scaffold-N75	2181270
all	all	all	all	scaffold-N90	1132689
all	all	all	all	contig-count	269
all	all	all	all	contig-N50	2172811
all	all	all	all	contig-L50	53
all	all	all	all	total-gap-length	328585
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	47
all	all	all	all	component-count	155
Primary Assembly	all	all	all	total-length	362583438
Primary Assembly	all	all	all	ungapped-length	362254853
Primary Assembly	all	all	all	scaffold-count	155
Primary Assembly	all	all	all	scaffold-N50	4375035
Primary Assembly	all	all	all	spanned-gaps	114
Primary Assembly	all	all	all	unspanned-gaps	108
Primary Assembly	all	all	assembled-molecule	total-length	333481293
Primary Assembly	all	all	assembled-molecule	ungapped-length	333167274
Primary Assembly	all	all	assembled-molecule	scaffold-count	120
Primary Assembly	all	all	assembled-molecule	scaffold-N50	4387150
Primary Assembly	all	all	assembled-molecule	spanned-gaps	110
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	108
Primary Assembly	all	all	unlocalized-scaffold	total-length	18200586
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	18193217
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	16
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	1289228
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	1
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	10901559
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	10894362
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	19
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	1459132
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	26322496
Primary Assembly	1	Chromosome	all	ungapped-length	26297964
