# Assembly Statistics Report
# Assembly name:  Tu2.0
# Organism name:  Triticum urartu (monocots)
# Infraspecific name:  cultivar=G1812
# Taxid:          4572
# BioSample:      SAMN05513572
# BioProject:     PRJNA337888
# Submitter:      Institute of Genetics and Developmental Biology Chinese Academy of Sciences
# Date:           2018-04-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    MKGO01
# Assembly method: MaSuRCA v. 3.2
# Expected final version: no
# Genome coverage: 335.0x
# Sequencing technology: Illumina HiSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003073215.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003073225.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	4851895022
all	all	all	all	spanned-gaps	33809
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	10284
all	all	all	all	scaffold-N50	661480603
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	584211917
all	all	all	all	scaffold-N90	575865107
all	all	all	all	contig-count	44093
all	all	all	all	contig-N50	278449
all	all	all	all	contig-L50	5053
all	all	all	all	total-gap-length	30285584
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	10284
all	all	all	all	component-count	10284
Primary Assembly	all	all	all	total-length	4851895022
Primary Assembly	all	all	all	ungapped-length	4821609438
Primary Assembly	all	all	all	scaffold-count	10284
Primary Assembly	all	all	all	scaffold-N50	661480603
Primary Assembly	all	all	all	spanned-gaps	33809
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	4661597677
Primary Assembly	all	all	assembled-molecule	ungapped-length	4631312093
Primary Assembly	all	all	assembled-molecule	scaffold-count	7
Primary Assembly	all	all	assembled-molecule	scaffold-N50	661480603
Primary Assembly	all	all	assembled-molecule	spanned-gaps	33809
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	190297345
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	190297345
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	10277
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	20959
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	584211917
Primary Assembly	1	Chromosome	all	ungapped-length	580354903
Primary Assembly	1	Chromosome	all	scaffold-count	1
