# Assembly Statistics Report
# Assembly name:  glyma.Lee.gnm1
# Organism name:  Glycine max (soybean)
# Infraspecific name:  cultivar=Lee
# Taxid:          3847
# BioSample:      SAMN07664768
# BioProject:     PRJNA407817
# Submitter:      Glycine max cv Lee and Glycine soja PI 483463 sequencing consortium
# Date:           2018-01-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PELE01
# Assembly method: Falcon on PacBio v. 2016-06; BioNano optical map v. 2016-07; DeNovoMAGIC v. 2016-08
# Expected final version: no
# Genome coverage: 290.0x
# Sequencing technology: PacBio; Illumina GAII
# GenBank assembly accession: GCA_002905335.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002905345.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1016275704
all	all	all	all	spanned-gaps	56302
all	all	all	all	unspanned-gaps	183
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	475
all	all	all	all	scaffold-N50	14446570
all	all	all	all	scaffold-L50	24
all	all	all	all	scaffold-N75	7383475
all	all	all	all	scaffold-N90	3098544
all	all	all	all	contig-count	56777
all	all	all	all	contig-N50	37007
all	all	all	all	contig-L50	7969
all	all	all	all	total-gap-length	43206887
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	292
all	all	all	all	component-count	475
Primary Assembly	all	all	all	total-length	1016275704
Primary Assembly	all	all	all	ungapped-length	973068817
Primary Assembly	all	all	all	scaffold-count	475
Primary Assembly	all	all	all	scaffold-N50	14446570
Primary Assembly	all	all	all	spanned-gaps	56302
Primary Assembly	all	all	all	unspanned-gaps	183
Primary Assembly	all	all	assembled-molecule	total-length	990714026
Primary Assembly	all	all	assembled-molecule	ungapped-length	952177498
Primary Assembly	all	all	assembled-molecule	scaffold-count	203
Primary Assembly	all	all	assembled-molecule	scaffold-N50	15020773
Primary Assembly	all	all	assembled-molecule	spanned-gaps	50927
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	183
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	25561678
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	20891319
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	272
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	169634
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	5375
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	58711475
Primary Assembly	1	Chromosome	all	ungapped-length	56798075
Primary Assembly	1	Chromosome	all	scaffold-count	13
Primary Assembly	1	Chromosome	all	scaffold-N50	12899446
Primary Assembly	1	Chromosome	all	spanned-gaps	2714
Primary Assembly	1	Chromosome	all	unspanned-gaps	12
Primary Assembly	1	Chromosome	assembled-molecule	total-length	58711475
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	56798075
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	13
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	12899446
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	2714
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	12
