# Assembly Statistics Report
# Assembly name:  ASM836090v1
# Organism name:  Spirodela polyrhiza (great duckweed)
# Infraspecific name:  strain=7498
# Taxid:          29656
# BioSample:      SAMN10866280
# BioProject:     PRJNA520740
# Submitter:      Shanghai Jiao Tong University
# Date:           2019-09-09
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    SWLF01
# Assembly method: FALCON v. JULY-2017
# Expected final version: yes
# Genome coverage: 126.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_008360905.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_008360915.1		Primary Assembly
## GCA_008360925.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	138536245
all	all	all	all	spanned-gaps	250
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	134
all	all	all	all	scaffold-N50	7645982
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	5279519
all	all	all	all	scaffold-N90	3764154
all	all	all	all	contig-count	384
all	all	all	all	contig-N50	837937
all	all	all	all	contig-L50	52
all	all	all	all	total-gap-length	10857
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	134
all	all	all	all	component-count	134
Primary Assembly	all	all	all	total-length	138013099
Primary Assembly	all	all	all	ungapped-length	138002242
Primary Assembly	all	all	all	scaffold-count	127
Primary Assembly	all	all	all	scaffold-N50	7645982
Primary Assembly	all	all	all	spanned-gaps	250
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	138013099
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	138002242
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	127
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	7645982
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	250
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	523146
non-nuclear	all	all	all	ungapped-length	523146
non-nuclear	all	all	all	scaffold-count	7
non-nuclear	all	all	all	scaffold-N50	177873
