# Assembly Statistics Report
# Assembly name:  WHFS_GsojaF_1.0
# Organism name:  Glycine soja (wild soybean)
# Infraspecific name:  cultivar=F
# Taxid:          3848
# BioSample:      SAMN12622419
# BioProject:     PRJNA561626
# Submitter:      Frasergen Bioinformatics Inc
# Date:           2020-08-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WIXD01
# Assembly method: FALCON v. 2.0; CANU v. 1.7
# Expected final version: no
# Genome coverage: 50.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_014282345.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014282385.1		Primary Assembly
## GCA_014282395.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	975918537
all	all	all	all	spanned-gaps	2086
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	320
all	all	all	all	scaffold-N50	48777390
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	45073425
all	all	all	all	scaffold-N90	41154285
all	all	all	all	contig-count	2406
all	all	all	all	contig-N50	1550092
all	all	all	all	contig-L50	120
all	all	all	all	total-gap-length	974254
all	all	all	all	molecule-count	21
all	all	all	all	top-level-count	320
all	all	all	all	component-count	320
Primary Assembly	all	all	all	total-length	975674390
Primary Assembly	all	all	all	ungapped-length	974700136
Primary Assembly	all	all	all	scaffold-count	317
Primary Assembly	all	all	all	scaffold-N50	48777390
Primary Assembly	all	all	all	spanned-gaps	2086
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	963819656
Primary Assembly	all	all	assembled-molecule	ungapped-length	962845402
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	48777390
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2086
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	11854734
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	11854734
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	297
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	48805
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	57853807
Primary Assembly	1	Chromosome	all	ungapped-length	57790146
Primary Assembly	1	Chromosome	all	scaffold-count	1
