# Assembly Statistics Report
# Assembly name:  Zm-CML228-REFERENCE-NAM-1.0
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=CML228
# Taxid:          4577
# BioSample:      SAMEA5313302
# BioProject:     PRJEB31061
# Submitter:      MaizeGDB
# Date:           2020-03-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CABHLM01
# Genome coverage: 68x
# GenBank assembly accession: GCA_902167155.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_902167154.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2300771431
all	all	all	all	spanned-gaps	4590
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1533
all	all	all	all	scaffold-N50	229448496
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	177295823
all	all	all	all	scaffold-N90	151355343
all	all	all	all	contig-count	6123
all	all	all	all	contig-N50	9503937
all	all	all	all	contig-L50	59
all	all	all	all	total-gap-length	27759008
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	1533
all	all	all	all	component-count	1555
Primary Assembly	all	all	all	total-length	2300771431
Primary Assembly	all	all	all	ungapped-length	2273012423
Primary Assembly	all	all	all	scaffold-count	1533
Primary Assembly	all	all	all	scaffold-N50	229448496
Primary Assembly	all	all	all	spanned-gaps	4590
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2145830919
Primary Assembly	all	all	assembled-molecule	ungapped-length	2122747601
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	229448496
Primary Assembly	all	all	assembled-molecule	spanned-gaps	3726
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	154940512
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	150264822
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1523
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	148280
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	864
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	311139538
Primary Assembly	1	Chromosome	all	ungapped-length	308789296
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	311139538
Primary Assembly	1	Chromosome	all	spanned-gaps	320
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	311139538
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	308789296
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	311139538
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	320
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	247598297
Primary Assembly	2	Chromosome	all	ungapped-length	244976462
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	247598297
Primary Assembly	2	Chromosome	all	spanned-gaps	416
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	247598297
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	244976462
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	247598297
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	416
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
