# Assembly Statistics Report
# Assembly name:  Zm-DK105-REFERENCE-TUM-1.0
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=DK105
# Taxid:          4577
# BioSample:      SAMN10081784
# BioProject:     PRJNA360923
# Submitter:      Technical University of Munich
# Date:           2018-11-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    RAQT01
# Assembly method: NRGene DeNovoMAGIC v. 3.0
# Expected final version: yes
# Genome coverage: 214.0x
# Sequencing technology: Illumina
# GenBank assembly accession: GCA_003709335.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003709345.1		Primary Assembly
## GCA_003709355.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2288189157
all	all	all	all	spanned-gaps	53329
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	972
all	all	all	all	scaffold-N50	239537729
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	185624967
all	all	all	all	scaffold-N90	154570458
all	all	all	all	contig-count	54301
all	all	all	all	contig-N50	99755
all	all	all	all	contig-L50	6857
all	all	all	all	total-gap-length	14328916
all	all	all	all	molecule-count	11
all	all	all	all	top-level-count	972
all	all	all	all	component-count	972
Primary Assembly	all	all	all	total-length	2287760461
Primary Assembly	all	all	all	ungapped-length	2273438947
Primary Assembly	all	all	all	scaffold-count	940
Primary Assembly	all	all	all	scaffold-N50	239537729
Primary Assembly	all	all	all	spanned-gaps	53278
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2176062556
Primary Assembly	all	all	assembled-molecule	ungapped-length	2163639053
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	239537729
Primary Assembly	all	all	assembled-molecule	spanned-gaps	49028
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	111697905
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	109799894
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	930
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	3777818
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	4250
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	306928748
Primary Assembly	1	Chromosome	all	ungapped-length	305145208
Primary Assembly	1	Chromosome	all	scaffold-count	1
