# Assembly Statistics Report
# Assembly name:  10wheat_assembly_sy_mattis
# Organism name:  Triticum aestivum (bread wheat)
# Infraspecific name:  cultivar=SY Mattis
# Taxid:          4565
# BioSample:      SAMEA7089060
# BioProject:     PRJEB39558
# Submitter:      IPK-Gatersleben
# Date:           2020-08-20
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAJEWS01
# Genome coverage: 250x
# GenBank assembly accession: GCA_903994185.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_903994184.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	14884612126
all	all	all	all	spanned-gaps	358881
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	1064262
all	all	all	all	contig-N50	76803
all	all	all	all	contig-L50	55705
all	all	all	all	total-gap-length	83577187
all	all	all	all	molecule-count	21
all	all	all	all	top-level-count	705997
all	all	all	all	component-count	705997
Primary Assembly	all	all	all	total-length	14884612126
Primary Assembly	all	all	all	ungapped-length	14801034939
Primary Assembly	all	all	all	spanned-gaps	358881
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	13998557974
Primary Assembly	all	all	assembled-molecule	ungapped-length	13926035255
Primary Assembly	all	all	assembled-molecule	spanned-gaps	343789
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	886054152
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	874999684
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	15092
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1A	Chromosome	all	total-length	600654286
Primary Assembly	1A	Chromosome	all	ungapped-length	597999746
Primary Assembly	1A	Chromosome	all	spanned-gaps	13114
Primary Assembly	1A	Chromosome	all	unspanned-gaps	0
Primary Assembly	1A	Chromosome	assembled-molecule	total-length	600654286
Primary Assembly	1A	Chromosome	assembled-molecule	ungapped-length	597999746
Primary Assembly	1A	Chromosome	assembled-molecule	spanned-gaps	13114
Primary Assembly	1A	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	ungapped-length	0
