# Assembly Statistics Report
# Assembly name:  ASM1507626v1
# Organism name:  Solanum tuberosum (potato)
# Infraspecific name:  cultivar=Solyntus
# Taxid:          4113
# BioSample:      SAMN15221885
# BioProject:     PRJNA631911
# Submitter:      Wageningen University & Research
# Date:           2020-10-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: Canu v. 1.8
# Expected final version: yes
# Reference guided assembly: DMv4.03
# Genome coverage: 70.0x
# Sequencing technology: Oxford Nanopore MiniION; Illumina NovaSeq
# GenBank assembly accession: GCA_015076265.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015076275.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	716171447
all	all	all	all	spanned-gaps	104
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	116
all	all	all	all	contig-N50	13367893
all	all	all	all	contig-L50	15
all	all	all	all	total-gap-length	10400
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	12
all	all	all	all	component-count	12
Primary Assembly	all	all	all	total-length	716171447
Primary Assembly	all	all	all	ungapped-length	716161047
Primary Assembly	all	all	all	spanned-gaps	104
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	716171447
Primary Assembly	all	all	assembled-molecule	ungapped-length	716161047
Primary Assembly	all	all	assembled-molecule	spanned-gaps	104
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	59557243
Primary Assembly	1	Chromosome	all	ungapped-length	59555743
Primary Assembly	1	Chromosome	all	spanned-gaps	15
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	59557243
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	59555743
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	15
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	42706079
Primary Assembly	2	Chromosome	all	ungapped-length	42705479
Primary Assembly	2	Chromosome	all	spanned-gaps	6
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	42706079
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	42705479
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	6
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	63701590
Primary Assembly	3	Chromosome	all	ungapped-length	63700890
Primary Assembly	3	Chromosome	all	spanned-gaps	7
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	63701590
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	63700890
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	7
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
