# Assembly Statistics Report
# Assembly name:  iwgsc_refseqv1.0
# Organism name:  Triticum aestivum (bread wheat)
# Infraspecific name:  cultivar=Chinese Spring (IWGSC RefSeq v1.0)
# Taxid:          4565
# BioSample:      SAMEA4791365
# BioProject:     PRJEB27788
# Submitter:      IWGSC
# Date:           2018-08-20
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Genome coverage: 234x
# GenBank assembly accession: GCA_900519105.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900519104.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	14547261565
all	all	all	all	spanned-gaps	692976
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	692998
all	all	all	all	contig-N50	51842
all	all	all	all	contig-L50	81456
all	all	all	all	total-gap-length	275682619
all	all	all	all	molecule-count	22
all	all	all	all	top-level-count	22
all	all	all	all	component-count	22
Primary Assembly	all	all	all	total-length	14547261565
Primary Assembly	all	all	all	ungapped-length	14271578946
Primary Assembly	all	all	all	spanned-gaps	692976
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	14547261565
Primary Assembly	all	all	assembled-molecule	ungapped-length	14271578946
Primary Assembly	all	all	assembled-molecule	spanned-gaps	692976
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1A	Chromosome	all	total-length	594102056
Primary Assembly	1A	Chromosome	all	ungapped-length	585682930
Primary Assembly	1A	Chromosome	all	spanned-gaps	20242
Primary Assembly	1A	Chromosome	all	unspanned-gaps	0
Primary Assembly	1A	Chromosome	assembled-molecule	total-length	594102056
Primary Assembly	1A	Chromosome	assembled-molecule	ungapped-length	585682930
Primary Assembly	1A	Chromosome	assembled-molecule	spanned-gaps	20242
Primary Assembly	1A	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1B	Chromosome	all	total-length	689851870
