# Assembly Statistics Report
# Assembly name:  ASM1463335v1
# Organism name:  Diospyros lotus (eudicots)
# Infraspecific name:  cultivar=W01
# Taxid:          55363
# BioSample:      SAMN15573977
# BioProject:     PRJNA646788
# Submitter:      BEIJING ACADEMY OF FORESTRY AND POMOLOGY SCIENCES
# Date:           2020-09-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACNMG01
# Assembly method: Canu v. 1.5
# Expected final version: yes
# Genome coverage: 103x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_014633355.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014633385.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	617726390
all	all	all	all	spanned-gaps	640
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	142
all	all	all	all	scaffold-N50	40720603
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	38712398
all	all	all	all	scaffold-N90	33288457
all	all	all	all	contig-count	782
all	all	all	all	contig-N50	2985819
all	all	all	all	contig-L50	52
all	all	all	all	total-gap-length	63936
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	142
all	all	all	all	component-count	142
Primary Assembly	all	all	all	total-length	617726390
Primary Assembly	all	all	all	ungapped-length	617662454
Primary Assembly	all	all	all	scaffold-count	142
Primary Assembly	all	all	all	scaffold-N50	40720603
Primary Assembly	all	all	all	spanned-gaps	640
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	606827054
Primary Assembly	all	all	assembled-molecule	ungapped-length	606767054
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	40720603
Primary Assembly	all	all	assembled-molecule	spanned-gaps	600
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	10899336
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	10895400
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	127
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	461479
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	40
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	54230805
Primary Assembly	1	Chromosome	all	ungapped-length	54223405
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	54230805
Primary Assembly	1	Chromosome	all	spanned-gaps	74
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	54230805
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	54223405
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	54230805
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	74
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	45790527
Primary Assembly	2	Chromosome	all	ungapped-length	45783627
Primary Assembly	2	Chromosome	all	scaffold-count	1
