# Assembly Statistics Report
# Assembly name:  ASM1303036v1
# Organism name:  Cannabis sativa (eudicots)
# Isolate:  JL
# Taxid:          3483
# BioSample:      SAMN12606152
# BioProject:     PRJNA562042
# Submitter:      Ministry of Public Security
# Date:           2020-05-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WRXK01
# Assembly method: Canu v. 1.5; SmartDenovo v. 1.5; WTDBG v. 2.2; Quickmerge v. 0.2; HiC-Pro v. 2.7.8; Lachesis v. c23474f-v3
# Expected final version: yes
# Genome coverage: 153x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_013030365.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013030375.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	812525420
all	all	all	all	spanned-gaps	2495
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	483
all	all	all	all	scaffold-N50	82998198
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	70972478
all	all	all	all	scaffold-N90	69092163
all	all	all	all	contig-count	2978
all	all	all	all	contig-N50	509999
all	all	all	all	contig-L50	472
all	all	all	all	total-gap-length	695014
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	483
all	all	all	all	component-count	483
Primary Assembly	all	all	all	total-length	812525420
Primary Assembly	all	all	all	ungapped-length	811830406
Primary Assembly	all	all	all	scaffold-count	483
Primary Assembly	all	all	all	scaffold-N50	82998198
Primary Assembly	all	all	all	spanned-gaps	2495
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	797989137
Primary Assembly	all	all	assembled-molecule	ungapped-length	797294123
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	82998198
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2495
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	14536283
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	14536283
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	473
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	34758
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	93001284
Primary Assembly	1	Chromosome	all	ungapped-length	92971684
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	93001284
