# Assembly Statistics Report
# Assembly name:  SbicolorRio_v2
# Organism name:  Sorghum bicolor (sorghum)
# Infraspecific name:  cultivar=Rio
# Taxid:          4558
# BioSample:      SAMN05444726
# BioProject:     PRJNA331825
# Submitter:      DOE Joint Genome Institute
# Date:           2020-12-01
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JADDXV01
# Assembly method: FALCON v. 2.2
# Genome coverage: 74.928x
# Sequencing technology: Illumina HiSeq 2500
# GenBank assembly accession: GCA_015952705.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015952715.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	729379862
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	3549
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3830
all	all	all	all	scaffold-N50	396665
all	all	all	all	scaffold-L50	423
all	all	all	all	scaffold-N75	185513
all	all	all	all	scaffold-N90	83913
all	all	all	all	contig-count	3830
all	all	all	all	contig-N50	396665
all	all	all	all	contig-L50	423
all	all	all	all	total-gap-length	35490000
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	281
all	all	all	all	component-count	3830
Primary Assembly	all	all	all	total-length	729379862
Primary Assembly	all	all	all	ungapped-length	693889862
Primary Assembly	all	all	all	scaffold-count	3830
Primary Assembly	all	all	all	scaffold-N50	396665
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	3549
Primary Assembly	all	all	assembled-molecule	total-length	719361149
Primary Assembly	all	all	assembled-molecule	ungapped-length	683871149
Primary Assembly	all	all	assembled-molecule	scaffold-count	3559
Primary Assembly	all	all	assembled-molecule	scaffold-N50	401865
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	3549
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	10018713
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	10018713
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	271
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	59660
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	81498373
Primary Assembly	1	Chromosome	all	ungapped-length	78498373
Primary Assembly	1	Chromosome	all	scaffold-count	301
Primary Assembly	1	Chromosome	all	scaffold-N50	531078
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	300
Primary Assembly	1	Chromosome	assembled-molecule	total-length	81498373
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	78498373
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	301
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	531078
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	300
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	89798109
Primary Assembly	2	Chromosome	all	ungapped-length	85388109
Primary Assembly	2	Chromosome	all	scaffold-count	442
Primary Assembly	2	Chromosome	all	scaffold-N50	482133
Primary Assembly	2	Chromosome	all	spanned-gaps	0
Primary Assembly	2	Chromosome	all	unspanned-gaps	441
Primary Assembly	2	Chromosome	assembled-molecule	total-length	89798109
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	85388109
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	442
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	482133
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	441
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	75771322
