# Assembly Statistics Report
# Assembly name:  ASM250434v1
# Organism name:  Gossypium hirsutum (cotton)
# Infraspecific name:  cultivar=TM1
# Taxid:          3635
# BioSample:      SAMN07692727
# BioProject:     PRJNA411996
# Submitter:      Clemson University
# Date:           2017-10-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: partial
# Assembly method: Celera v. v8.1
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina MiSeq
# Excluded from RefSeq: partial
# GenBank assembly accession: GCA_002504345.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002504355.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	169284829
all	all	all	all	spanned-gaps	9283
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	9287
all	all	all	all	contig-N50	55956
all	all	all	all	contig-L50	616
all	all	all	all	total-gap-length	20407718
all	all	all	all	molecule-count	4
all	all	all	all	top-level-count	4
all	all	all	all	component-count	4
Primary Assembly	all	all	all	total-length	169284829
Primary Assembly	all	all	all	ungapped-length	148877111
Primary Assembly	all	all	all	spanned-gaps	9283
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	169284829
Primary Assembly	all	all	assembled-molecule	ungapped-length	148877111
Primary Assembly	all	all	assembled-molecule	spanned-gaps	9283
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A11	Chromosome	all	total-length	62133650
Primary Assembly	A11	Chromosome	all	ungapped-length	51414734
Primary Assembly	A11	Chromosome	all	spanned-gaps	2010
Primary Assembly	A11	Chromosome	all	unspanned-gaps	0
Primary Assembly	A11	Chromosome	assembled-molecule	total-length	62133650
Primary Assembly	A11	Chromosome	assembled-molecule	ungapped-length	51414734
Primary Assembly	A11	Chromosome	assembled-molecule	spanned-gaps	2010
Primary Assembly	A11	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A11	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A11	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A11	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A11	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A12	Chromosome	all	total-length	26685906
Primary Assembly	A12	Chromosome	all	ungapped-length	25124842
Primary Assembly	A12	Chromosome	all	spanned-gaps	3616
Primary Assembly	A12	Chromosome	all	unspanned-gaps	0
Primary Assembly	A12	Chromosome	assembled-molecule	total-length	26685906
Primary Assembly	A12	Chromosome	assembled-molecule	ungapped-length	25124842
Primary Assembly	A12	Chromosome	assembled-molecule	spanned-gaps	3616
Primary Assembly	A12	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A12	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A12	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A12	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A12	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	D11	Chromosome	all	total-length	47978869
Primary Assembly	D11	Chromosome	all	ungapped-length	42011185
Primary Assembly	D11	Chromosome	all	spanned-gaps	1437
Primary Assembly	D11	Chromosome	all	unspanned-gaps	0
Primary Assembly	D11	Chromosome	assembled-molecule	total-length	47978869
Primary Assembly	D11	Chromosome	assembled-molecule	ungapped-length	42011185
Primary Assembly	D11	Chromosome	assembled-molecule	spanned-gaps	1437
Primary Assembly	D11	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	D11	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	D11	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	D11	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	D11	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	D12	Chromosome	all	total-length	32486404
Primary Assembly	D12	Chromosome	all	ungapped-length	30326350
Primary Assembly	D12	Chromosome	all	spanned-gaps	2220
Primary Assembly	D12	Chromosome	all	unspanned-gaps	0
Primary Assembly	D12	Chromosome	assembled-molecule	total-length	32486404
Primary Assembly	D12	Chromosome	assembled-molecule	ungapped-length	30326350
Primary Assembly	D12	Chromosome	assembled-molecule	spanned-gaps	2220
