# Assembly Statistics Report
# Assembly name:  Walnut 2.0
# Organism name:  Juglans regia (English walnut)
# Infraspecific name:  cultivar=Chandler
# Taxid:          51240
# BioSample:      SAMN03704235
# BioProject:     PRJNA291087
# Submitter:      Johns Hopkins University
# Date:           2020-07-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LIHL02
# Assembly method: MaSuRCA v. 3.2.1; HiRise v. 2018-04
# Expected final version: no
# Genome coverage: 155.0x
# Sequencing technology: Illumina HiSeq; Oxford Nanopore MinION; Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001411555.2
# RefSeq assembly accession: GCF_001411555.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001411565.2	GCF_001411565.2	Primary Assembly
## GCA_001411575.2	GCF_013706355.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	573950330
all	all	all	all	spanned-gaps	1051
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	24765
all	all	all	all	scaffold-N50	37114715
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	28841373
all	all	all	all	scaffold-N90	22562875
all	all	all	all	contig-count	25816
all	all	all	all	contig-N50	1066305
all	all	all	all	contig-L50	147
all	all	all	all	total-gap-length	603869
all	all	all	all	molecule-count	18
all	all	all	all	top-level-count	24765
all	all	all	all	component-count	24765
Primary Assembly	all	all	all	total-length	572786133
Primary Assembly	all	all	all	ungapped-length	572182264
Primary Assembly	all	all	all	scaffold-count	24756
Primary Assembly	all	all	all	scaffold-N50	37114715
Primary Assembly	all	all	all	spanned-gaps	1051
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	545778456
Primary Assembly	all	all	assembled-molecule	ungapped-length	545196808
Primary Assembly	all	all	assembled-molecule	scaffold-count	16
Primary Assembly	all	all	assembled-molecule	scaffold-N50	37114715
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1031
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	27007677
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	26985456
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	24740
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	13377
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	20
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	45207397
Primary Assembly	1	Chromosome	all	ungapped-length	45193197
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	45207397
Primary Assembly	1	Chromosome	all	spanned-gaps	74
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	45207397
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	45193197
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	45207397
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	74
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	37821870
Primary Assembly	2	Chromosome	all	ungapped-length	37813329
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	37821870
Primary Assembly	2	Chromosome	all	spanned-gaps	63
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	37821870
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	37813329
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	37821870
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	63
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	35064427
Primary Assembly	3	Chromosome	all	ungapped-length	35049872
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	35064427
Primary Assembly	3	Chromosome	all	spanned-gaps	68
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	35064427
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	35049872
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	35064427
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	68
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	34823025
Primary Assembly	4	Chromosome	all	ungapped-length	34714513
Primary Assembly	4	Chromosome	all	scaffold-count	1
