# Assembly Statistics Report
# Assembly name:  O.barthii_v1.3
# Description:    Oryza barthii whole genome assembly v1.3
# Organism name:  Oryza barthii (African wild rice)
# Taxid:          65489
# BioSample:      SAMN02953732
# BioProject:     PRJNA30379
# Submitter:      Oryza Chr3 Short Arm Comparative Sequencing Project
# Date:           2014-05-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ABRL02
# Assembly method: AllPaths v. 44849; Newbler v. 2.8
# Genome coverage: 110.0x
# Sequencing technology: Illumina GAIIx; 454
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000182155.3
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000182165.3		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	308272304
all	all	all	all	spanned-gaps	25415
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	25427
all	all	all	all	contig-N50	18926
all	all	all	all	contig-L50	4953
all	all	all	all	total-gap-length	2539911
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	12
all	all	all	all	component-count	25409
Primary Assembly	all	all	all	total-length	308272304
Primary Assembly	all	all	all	ungapped-length	305732393
Primary Assembly	all	all	all	spanned-gaps	25415
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	308272304
Primary Assembly	all	all	assembled-molecule	ungapped-length	305732393
Primary Assembly	all	all	assembled-molecule	spanned-gaps	25415
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	36915442
Primary Assembly	1	Chromosome	all	ungapped-length	36628821
Primary Assembly	1	Chromosome	all	spanned-gaps	2868
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	36915442
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	36628821
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	2868
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
