# Assembly Statistics Report
# Assembly name:  aradu.K30065.gnm1.M24N
# Organism name:  Arachis duranensis (eudicots)
# Infraspecific name:  cultivar=K30065
# Taxid:          130453
# BioSample:      SAMN14297581
# BioProject:     PRJNA610423
# Submitter:      Peanut Genome Initiative
# Date:           2020-09-28
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAOXE01
# Assembly method: Canu v. 1.9; RaGOO v. 1.1; Pilon v. 2019
# Expected final version: yes
# Genome coverage: 30.0x
# Sequencing technology: PacBio Sequel; Illumina HiSeq
# GenBank assembly accession: GCA_014805325.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014805335.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1106325876
all	all	all	all	spanned-gaps	2884
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	116
all	all	all	all	scaffold-N50	115523635
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	110111402
all	all	all	all	scaffold-N90	81226779
all	all	all	all	contig-count	3000
all	all	all	all	contig-N50	1014563
all	all	all	all	contig-L50	238
all	all	all	all	total-gap-length	241692
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	116
all	all	all	all	component-count	116
Primary Assembly	all	all	all	total-length	1106325876
Primary Assembly	all	all	all	ungapped-length	1106084184
Primary Assembly	all	all	all	scaffold-count	116
Primary Assembly	all	all	all	scaffold-N50	115523635
Primary Assembly	all	all	all	spanned-gaps	2884
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	1094128745
Primary Assembly	all	all	assembled-molecule	ungapped-length	1093894588
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	115523635
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2807
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	12197131
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	12189596
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	106
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	266092
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	77
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	110111402
Primary Assembly	1	Chromosome	all	ungapped-length	110092379
Primary Assembly	1	Chromosome	all	scaffold-count	1
