# Assembly Statistics Report
# Assembly name:  glyso.PI483463.gnm1
# Organism name:  Glycine soja (wild soybean)
# Taxid:          3848
# BioSample:      SAMN07664803
# BioProject:     PRJNA407822
# Submitter:      SoyBase
# Date:           2018-01-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PGFP01
# Assembly method: DeNovoMAGIC v. 2016-08
# Expected final version: yes
# Genome coverage: 250.0x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_002907465.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002907475.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	985259865
all	all	all	all	spanned-gaps	78440
all	all	all	all	unspanned-gaps	500
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	805
all	all	all	all	scaffold-N50	4430511
all	all	all	all	scaffold-L50	60
all	all	all	all	scaffold-N75	1769909
all	all	all	all	scaffold-N90	697884
all	all	all	all	contig-count	79245
all	all	all	all	contig-N50	24130
all	all	all	all	contig-L50	11571
all	all	all	all	total-gap-length	33945040
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	306
all	all	all	all	component-count	805
Primary Assembly	all	all	all	total-length	985259865
Primary Assembly	all	all	all	ungapped-length	951314825
Primary Assembly	all	all	all	scaffold-count	805
Primary Assembly	all	all	all	scaffold-N50	4430511
Primary Assembly	all	all	all	spanned-gaps	78440
Primary Assembly	all	all	all	unspanned-gaps	500
Primary Assembly	all	all	assembled-molecule	total-length	962330478
Primary Assembly	all	all	assembled-molecule	ungapped-length	931707889
Primary Assembly	all	all	assembled-molecule	scaffold-count	519
Primary Assembly	all	all	assembled-molecule	scaffold-N50	4569623
Primary Assembly	all	all	assembled-molecule	spanned-gaps	72751
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	500
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	22929387
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	19606936
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	286
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	119099
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	5689
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	57896170
