# Assembly Statistics Report
# Assembly name:  ASM151433v2
# Organism name:  Oryza longistaminata (monocots)
# Infraspecific name:  cultivar=RD23
# Taxid:          4528
# BioSample:      SAMN03996572
# BioProject:     PRJNA293398
# Submitter:      Kunming Institute of Zoology, Chinese Academy of Science
# Date:           2016-01-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LQBC01
# Assembly method: SOAPdenovo v. 2.01; Newbler v. 2.9
# Expected final version: no
# Genome coverage: 402.0x
# Sequencing technology: Illumina GAII; Illumina HiSeq; 454
# GenBank assembly accession: GCA_001514335.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001514345.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	362063720
all	all	all	all	spanned-gaps	14577
all	all	all	all	unspanned-gaps	2057
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	11745
all	all	all	all	scaffold-N50	363864
all	all	all	all	scaffold-L50	305
all	all	all	all	scaffold-N75	174365
all	all	all	all	scaffold-N90	64429
all	all	all	all	contig-count	26322
all	all	all	all	contig-N50	39115
all	all	all	all	contig-L50	2499
all	all	all	all	total-gap-length	20309678
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	9688
all	all	all	all	component-count	11745
Primary Assembly	all	all	all	total-length	362063720
Primary Assembly	all	all	all	ungapped-length	341754042
Primary Assembly	all	all	all	scaffold-count	11745
Primary Assembly	all	all	all	scaffold-N50	363864
Primary Assembly	all	all	all	spanned-gaps	14577
Primary Assembly	all	all	all	unspanned-gaps	2057
Primary Assembly	all	all	assembled-molecule	total-length	342749912
Primary Assembly	all	all	assembled-molecule	ungapped-length	325348919
Primary Assembly	all	all	assembled-molecule	scaffold-count	2069
Primary Assembly	all	all	assembled-molecule	scaffold-N50	382179
Primary Assembly	all	all	assembled-molecule	spanned-gaps	13666
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	2057
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	19313808
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	16405123
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	9676
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	3880
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	911
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	43445878
Primary Assembly	1	Chromosome	all	ungapped-length	41501532
Primary Assembly	1	Chromosome	all	scaffold-count	209
Primary Assembly	1	Chromosome	all	scaffold-N50	424692
Primary Assembly	1	Chromosome	all	spanned-gaps	1604
Primary Assembly	1	Chromosome	all	unspanned-gaps	208
Primary Assembly	1	Chromosome	assembled-molecule	total-length	43445878
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	41501532
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	209
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	424692
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1604
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	208
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	36083738
Primary Assembly	2	Chromosome	all	ungapped-length	34453495
Primary Assembly	2	Chromosome	all	scaffold-count	188
Primary Assembly	2	Chromosome	all	scaffold-N50	424808
Primary Assembly	2	Chromosome	all	spanned-gaps	1342
Primary Assembly	2	Chromosome	all	unspanned-gaps	187
Primary Assembly	2	Chromosome	assembled-molecule	total-length	36083738
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	34453495
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	188
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	424808
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	1342
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	187
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	46202548
Primary Assembly	3	Chromosome	all	ungapped-length	44321303
Primary Assembly	3	Chromosome	all	scaffold-count	213
Primary Assembly	3	Chromosome	all	scaffold-N50	450864
Primary Assembly	3	Chromosome	all	spanned-gaps	1641
Primary Assembly	3	Chromosome	all	unspanned-gaps	212
Primary Assembly	3	Chromosome	assembled-molecule	total-length	46202548
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	44321303
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	213
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	450864
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	1641
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	212
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	32292456
Primary Assembly	4	Chromosome	all	ungapped-length	30736491
Primary Assembly	4	Chromosome	all	scaffold-count	216
Primary Assembly	4	Chromosome	all	scaffold-N50	374321
Primary Assembly	4	Chromosome	all	spanned-gaps	1264
Primary Assembly	4	Chromosome	all	unspanned-gaps	215
Primary Assembly	4	Chromosome	assembled-molecule	total-length	32292456
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	30736491
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	216
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	374321
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	1264
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	215
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	25164199
Primary Assembly	5	Chromosome	all	ungapped-length	23905503
Primary Assembly	5	Chromosome	all	scaffold-count	175
Primary Assembly	5	Chromosome	all	scaffold-N50	281702
Primary Assembly	5	Chromosome	all	spanned-gaps	1035
Primary Assembly	5	Chromosome	all	unspanned-gaps	174
Primary Assembly	5	Chromosome	assembled-molecule	total-length	25164199
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	23905503
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	175
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	281702
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	1035
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	174
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
