# Assembly Statistics Report
# Assembly name:  ASM34727v4
# Organism name:  Cicer arietinum (chickpea)
# Infraspecific name:  cultivar=ICC4958
# Taxid:          3827
# BioSample:      SAMN03105794
# BioProject:     PRJNA78951
# Submitter:      National Institute of Plant Genome Research
# Date:           2019-08-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AHII03
# Assembly method: Newbler v. 2.5.3; ABySS v. 1.3.5
# Expected final version: no
# Genome coverage: 15.0x
# Sequencing technology: 454; Illumina GAIIx
# GenBank assembly accession: GCA_000347275.4
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000347285.4		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	511683526
all	all	all	all	spanned-gaps	44634
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	30401
all	all	all	all	scaffold-N50	50183001
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	91271
all	all	all	all	scaffold-N90	5666
all	all	all	all	contig-count	75035
all	all	all	all	contig-N50	21704
all	all	all	all	contig-L50	4980
all	all	all	all	total-gap-length	45153376
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	30401
all	all	all	all	component-count	30401
Primary Assembly	all	all	all	total-length	511683526
Primary Assembly	all	all	all	ungapped-length	466530150
Primary Assembly	all	all	all	scaffold-count	30401
Primary Assembly	all	all	all	scaffold-N50	50183001
Primary Assembly	all	all	all	spanned-gaps	44634
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	372843217
Primary Assembly	all	all	assembled-molecule	ungapped-length	337795730
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	50442230
Primary Assembly	all	all	assembled-molecule	spanned-gaps	25095
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	138840309
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	128734420
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	30393
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	10379
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	19539
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	Ca1	Chromosome	all	total-length	60104417
Primary Assembly	Ca1	Chromosome	all	ungapped-length	54370539
Primary Assembly	Ca1	Chromosome	all	scaffold-count	1
Primary Assembly	Ca1	Chromosome	all	scaffold-N50	60104417
Primary Assembly	Ca1	Chromosome	all	spanned-gaps	4111
Primary Assembly	Ca1	Chromosome	all	unspanned-gaps	0
Primary Assembly	Ca1	Chromosome	assembled-molecule	total-length	60104417
Primary Assembly	Ca1	Chromosome	assembled-molecule	ungapped-length	54370539
Primary Assembly	Ca1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	Ca1	Chromosome	assembled-molecule	scaffold-N50	60104417
Primary Assembly	Ca1	Chromosome	assembled-molecule	spanned-gaps	4111
Primary Assembly	Ca1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	Ca1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Ca2	Chromosome	all	total-length	38811151
Primary Assembly	Ca2	Chromosome	all	ungapped-length	34864364
Primary Assembly	Ca2	Chromosome	all	scaffold-count	1
Primary Assembly	Ca2	Chromosome	all	scaffold-N50	38811151
Primary Assembly	Ca2	Chromosome	all	spanned-gaps	2694
Primary Assembly	Ca2	Chromosome	all	unspanned-gaps	0
Primary Assembly	Ca2	Chromosome	assembled-molecule	total-length	38811151
Primary Assembly	Ca2	Chromosome	assembled-molecule	ungapped-length	34864364
Primary Assembly	Ca2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	Ca2	Chromosome	assembled-molecule	scaffold-N50	38811151
Primary Assembly	Ca2	Chromosome	assembled-molecule	spanned-gaps	2694
Primary Assembly	Ca2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	Ca2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
