# Assembly Statistics Report
# Assembly name:  ASM228589v2
# Organism name:  Lupinus angustifolius (narrow-leaved blue lupine)
# Infraspecific name:  cultivar=Tanjil
# Taxid:          3871
# BioSample:      SAMN07515711
# BioProject:     PRJNA398717
# Submitter:      Department of Agricultural and Food
# Date:           2017-09-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: SOAPdenovo v. 1
# Expected final version: no
# Genome coverage: 245.0x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_002285895.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002285925.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	557908961
all	all	all	all	spanned-gaps	41841
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	41861
all	all	all	all	contig-N50	52993
all	all	all	all	contig-L50	2653
all	all	all	all	total-gap-length	4350460
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	20
all	all	all	all	component-count	20
Primary Assembly	all	all	all	total-length	557908961
Primary Assembly	all	all	all	ungapped-length	553558501
Primary Assembly	all	all	all	spanned-gaps	41841
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	557908961
Primary Assembly	all	all	assembled-molecule	ungapped-length	553558501
Primary Assembly	all	all	assembled-molecule	spanned-gaps	41841
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG-01	Chromosome	all	total-length	42828440
Primary Assembly	LG-01	Chromosome	all	ungapped-length	42519864
Primary Assembly	LG-01	Chromosome	all	spanned-gaps	3012
Primary Assembly	LG-01	Chromosome	all	unspanned-gaps	0
Primary Assembly	LG-01	Chromosome	assembled-molecule	total-length	42828440
Primary Assembly	LG-01	Chromosome	assembled-molecule	ungapped-length	42519864
Primary Assembly	LG-01	Chromosome	assembled-molecule	spanned-gaps	3012
Primary Assembly	LG-01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG-01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG-01	Chromosome	unlocalized-scaffold	ungapped-length	0
