# Assembly Statistics Report
# Assembly name:  ASM1573044v1
# Organism name:  Prunus persica (peach)
# Infraspecific name:  cultivar=Rui You Pan 1
# Taxid:          3760
# BioSample:      SAMN16120604
# BioProject:     PRJNA663120
# Submitter:      Beijing Academy of Agriculture and Forestry Sciences
# Date:           2020-12-03
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACYOW01
# Assembly method: Celera Assembler v. 1.8
# Expected final version: yes
# Reference guided assembly: GCA_000346465.2
# Genome coverage: 589.74x
# Sequencing technology: PacBio RSII
# GenBank assembly accession: GCA_015730445.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015730475.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	239052840
all	all	all	all	spanned-gaps	54
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	33
all	all	all	all	scaffold-N50	28898652
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	23625283
all	all	all	all	scaffold-N90	22860706
all	all	all	all	contig-count	87
all	all	all	all	contig-N50	11482534
all	all	all	all	contig-L50	7
all	all	all	all	total-gap-length	10800
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	33
all	all	all	all	component-count	33
Primary Assembly	all	all	all	total-length	239052840
Primary Assembly	all	all	all	ungapped-length	239042040
Primary Assembly	all	all	all	scaffold-count	33
Primary Assembly	all	all	all	scaffold-N50	28898652
Primary Assembly	all	all	all	spanned-gaps	54
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	235007249
Primary Assembly	all	all	assembled-molecule	ungapped-length	234996449
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	28898652
Primary Assembly	all	all	assembled-molecule	spanned-gaps	54
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	4045591
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	4045591
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	25
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	322775
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	49444689
Primary Assembly	1	Chromosome	all	ungapped-length	49443489
Primary Assembly	1	Chromosome	all	scaffold-count	1
