# Assembly Statistics Report
# Assembly name:  LupAngTanjil_v1.0
# Organism name:  Lupinus angustifolius (narrow-leaved blue lupine)
# Infraspecific name:  cultivar=Tanjil
# Taxid:          3871
# BioSample:      SAMN04215042
# BioProject:     PRJNA299755
# Submitter:      CSIRO
# Date:           2016-11-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    MLAU01
# Assembly method: CutAdapt v. 1.1; FLASH v. 1.2.2; Kmerfreq v. 2015-05-28; SOAPdenovo2 v. 2015-05-28; SSPACE2 v. 2.0; BGI GapCloser v. 2015-05-28
# Expected final version: no
# Genome coverage: 245.0x
# Sequencing technology: Illumina HiSeq 2500
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001865875.1
# RefSeq assembly accession: GCF_001865875.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001865885.1	GCF_001865885.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	609203021
all	all	all	all	spanned-gaps	40729
all	all	all	all	unspanned-gaps	805
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	14378
all	all	all	all	scaffold-N50	702610
all	all	all	all	scaffold-L50	232
all	all	all	all	scaffold-N75	254346
all	all	all	all	scaffold-N90	36349
all	all	all	all	contig-count	55107
all	all	all	all	contig-N50	48365
all	all	all	all	contig-L50	3139
all	all	all	all	total-gap-length	4153400
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	13573
all	all	all	all	component-count	55107
Primary Assembly	all	all	all	total-length	609203021
Primary Assembly	all	all	all	ungapped-length	605049621
Primary Assembly	all	all	all	scaffold-count	14378
Primary Assembly	all	all	all	scaffold-N50	702610
Primary Assembly	all	all	all	spanned-gaps	40729
Primary Assembly	all	all	all	unspanned-gaps	805
Primary Assembly	all	all	assembled-molecule	total-length	470420060
Primary Assembly	all	all	assembled-molecule	ungapped-length	467072260
Primary Assembly	all	all	assembled-molecule	scaffold-count	825
Primary Assembly	all	all	assembled-molecule	scaffold-N50	934923
Primary Assembly	all	all	assembled-molecule	spanned-gaps	32673
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	805
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	138782961
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	137977361
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	13553
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	45366
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	8056
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	LG01	Chromosome	all	total-length	36457581
Primary Assembly	LG01	Chromosome	all	ungapped-length	36205481
Primary Assembly	LG01	Chromosome	all	scaffold-count	51
Primary Assembly	LG01	Chromosome	all	scaffold-N50	1362825
Primary Assembly	LG01	Chromosome	all	spanned-gaps	2471
Primary Assembly	LG01	Chromosome	all	unspanned-gaps	50
Primary Assembly	LG01	Chromosome	assembled-molecule	total-length	36457581
Primary Assembly	LG01	Chromosome	assembled-molecule	ungapped-length	36205481
Primary Assembly	LG01	Chromosome	assembled-molecule	scaffold-count	51
Primary Assembly	LG01	Chromosome	assembled-molecule	scaffold-N50	1362825
Primary Assembly	LG01	Chromosome	assembled-molecule	spanned-gaps	2471
Primary Assembly	LG01	Chromosome	assembled-molecule	unspanned-gaps	50
Primary Assembly	LG01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG01	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG01	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG02	Chromosome	all	total-length	24697652
Primary Assembly	LG02	Chromosome	all	ungapped-length	24529452
Primary Assembly	LG02	Chromosome	all	scaffold-count	51
Primary Assembly	LG02	Chromosome	all	scaffold-N50	702610
Primary Assembly	LG02	Chromosome	all	spanned-gaps	1632
Primary Assembly	LG02	Chromosome	all	unspanned-gaps	50
Primary Assembly	LG02	Chromosome	assembled-molecule	total-length	24697652
Primary Assembly	LG02	Chromosome	assembled-molecule	ungapped-length	24529452
Primary Assembly	LG02	Chromosome	assembled-molecule	scaffold-count	51
