# Assembly Statistics Report
# Assembly name:  HanXRQr2.0-SUNRISE
# Organism name:  Helianthus annuus (common sunflower)
# Infraspecific name:  cultivar=XRQ/B
# Taxid:          4232
# BioSample:      SAMN05868438
# BioProject:     PRJNA345532
# Submitter:      International Consortium for Sunflower Genomics
# Date:           2020-07-15
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    MNCJ02
# Assembly method: CANU v. 1.3; CANU v. 1.4; FALCON v. 0.7; Bionano-Solve v. 3.2.1_04122018
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002127325.2
# RefSeq assembly accession: GCF_002127325.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002127335.2	GCF_002127335.2	Primary Assembly
## GCA_002127345.2	GCF_000135695.2	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3010047644
all	all	all	all	spanned-gaps	2380
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	334
all	all	all	all	scaffold-N50	176490873
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	167167940
all	all	all	all	scaffold-N90	149502186
all	all	all	all	contig-count	2714
all	all	all	all	contig-N50	2005037
all	all	all	all	contig-L50	448
all	all	all	all	total-gap-length	61903037
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	334
all	all	all	all	component-count	334
Primary Assembly	all	all	all	total-length	3009595538
Primary Assembly	all	all	all	ungapped-length	2947692501
Primary Assembly	all	all	all	scaffold-count	332
Primary Assembly	all	all	all	scaffold-N50	176490873
Primary Assembly	all	all	all	spanned-gaps	2380
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	3001113581
Primary Assembly	all	all	assembled-molecule	ungapped-length	2939229848
Primary Assembly	all	all	assembled-molecule	scaffold-count	17
Primary Assembly	all	all	assembled-molecule	scaffold-N50	176490873
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2378
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	8481957
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	8462653
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	315
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	40966
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	149502186
Primary Assembly	1	Chromosome	all	ungapped-length	146781638
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	149502186
Primary Assembly	1	Chromosome	all	spanned-gaps	118
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	149502186
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	146781638
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	149502186
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	118
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	174800439
Primary Assembly	2	Chromosome	all	ungapped-length	171931713
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	174800439
Primary Assembly	2	Chromosome	all	spanned-gaps	125
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	174800439
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	171931713
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	174800439
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	125
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	176490873
Primary Assembly	3	Chromosome	all	ungapped-length	172278191
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	176490873
Primary Assembly	3	Chromosome	all	spanned-gaps	146
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	176490873
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	172278191
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	176490873
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	146
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	208320189
Primary Assembly	4	Chromosome	all	ungapped-length	204287366
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	208320189
Primary Assembly	4	Chromosome	all	spanned-gaps	176
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	208320189
