# Assembly Statistics Report
# Assembly name:  EMB_GmBRS537_1.0
# Organism name:  Glycine max (soybean)
# Infraspecific name:  cultivar=EMBRAPA BRS 537
# Taxid:          3847
# BioSample:      SAMN13940037
# BioProject:     PRJNA603670
# Submitter:      Brazilian Agricultural Research Corporation
# Date:           2020-04-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAFZW01
# Assembly method: FALCON v. JUN-2018; FALCON-Unzip v. JUN-2018; RaGOO v. OCT-2018; Proximo Genome Scaffolding v. MAR-2019; Ragout2 v. SEP-2019
# Expected final version: no
# Genome coverage: 80.0x
# Sequencing technology: PacBio Sequel; Illumina HiSeq
# GenBank assembly accession: GCA_012273815.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_012273845.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1116181090
all	all	all	all	spanned-gaps	5033
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	153
all	all	all	all	scaffold-N50	56308508
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	50516090
all	all	all	all	scaffold-N90	44604484
all	all	all	all	contig-count	5186
all	all	all	all	contig-N50	1396888
all	all	all	all	contig-L50	208
all	all	all	all	total-gap-length	503348
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	153
all	all	all	all	component-count	153
Primary Assembly	all	all	all	total-length	1116181090
Primary Assembly	all	all	all	ungapped-length	1115677742
Primary Assembly	all	all	all	scaffold-count	153
Primary Assembly	all	all	all	scaffold-N50	56308508
Primary Assembly	all	all	all	spanned-gaps	5033
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	1080267606
Primary Assembly	all	all	assembled-molecule	ungapped-length	1079802958
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	56308508
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4646
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	35913484
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	35874784
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	133
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	765623
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	387
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	63968053
Primary Assembly	1	Chromosome	all	ungapped-length	63938653
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	63968053
Primary Assembly	1	Chromosome	all	spanned-gaps	294
