# Assembly Statistics Report
# Assembly name:  ASM1418947v1
# Organism name:  Solanum tuberosum (potato)
# Infraspecific name:  cultivar=RH89-039-16
# Taxid:          4113
# BioSample:      SAMN12826500
# BioProject:     PRJNA573826
# Submitter:      Chinese Academy of Agricultural Sciences
# Date:           2020-08-14
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACDXL01
# Assembly method: canu v. 1.9; SMARTdenovo v. FEB-2018; wtdbg2 v. 2.5; Flye v. 2.4.2; DISCOVAR v. MAR-2015
# Expected final version: yes
# Genome coverage: 1.0x
# Sequencing technology: PacBio Sequel II; Oxford Nanopore; Illumina
# GenBank assembly accession: GCA_014189475.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014189485.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	810122902
all	all	all	all	spanned-gaps	4448
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	4460
all	all	all	all	contig-N50	1725596
all	all	all	all	contig-L50	106
all	all	all	all	total-gap-length	443810
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	12
all	all	all	all	component-count	12
Primary Assembly	all	all	all	total-length	810122902
Primary Assembly	all	all	all	ungapped-length	809679092
Primary Assembly	all	all	all	spanned-gaps	4448
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	810122902
Primary Assembly	all	all	assembled-molecule	ungapped-length	809679092
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4448
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	88578195
Primary Assembly	1	Chromosome	all	ungapped-length	88553095
Primary Assembly	1	Chromosome	all	spanned-gaps	251
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	88578195
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	88553095
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	251
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	50771054
