# Assembly Statistics Report
# Assembly name:  Sspon.HiC_chr_asm
# Organism name:  Saccharum spontaneum (monocots)
# Infraspecific name:  cultivar=AP85-441
# Taxid:          62335
# BioSample:      SAMN09753102
# BioProject:     PRJNA483885
# Submitter:      Fujian Agriculture and Forestry University
# Date:           2018-09-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QVOL01
# Assembly method: CANU v. May-2017; HiC v. May-2017
# Expected final version: yes
# Genome coverage: 90.0x
# Sequencing technology: Illumina; PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003544955.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003544965.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3133290353
all	all	all	all	spanned-gaps	76219
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	15303
all	all	all	all	scaffold-N50	91359291
all	all	all	all	scaffold-L50	15
all	all	all	all	scaffold-N75	79322609
all	all	all	all	scaffold-N90	61676436
all	all	all	all	contig-count	91522
all	all	all	all	contig-N50	44970
all	all	all	all	contig-L50	21341
all	all	all	all	total-gap-length	8102249
all	all	all	all	molecule-count	32
all	all	all	all	top-level-count	15303
all	all	all	all	component-count	15303
Primary Assembly	all	all	all	total-length	3133290353
Primary Assembly	all	all	all	ungapped-length	3125188104
Primary Assembly	all	all	all	scaffold-count	15303
Primary Assembly	all	all	all	scaffold-N50	91359291
Primary Assembly	all	all	all	spanned-gaps	76219
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2900240836
Primary Assembly	all	all	assembled-molecule	ungapped-length	2892151276
Primary Assembly	all	all	assembled-molecule	scaffold-count	32
Primary Assembly	all	all	assembled-molecule	scaffold-N50	91445600
Primary Assembly	all	all	assembled-molecule	spanned-gaps	76199
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	233049517
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	233036828
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	15271
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	17775
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	20
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1A	Chromosome	all	total-length	114473952
Primary Assembly	1A	Chromosome	all	ungapped-length	114133667
Primary Assembly	1A	Chromosome	all	scaffold-count	1
