# Assembly Statistics Report
# Assembly name:  Oryza_glaberrima_V1
# Organism name:  Oryza glaberrima (African rice)
# Taxid:          4538
# BioSample:      SAMN02981267
# BioProject:     PRJNA13765
# Submitter:      The Oryza Map Alignment Project (OMAP)
# Date:           2010-09-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    ADWL01
# Genome coverage: 30x
# Sequencing technology: 454 Titanium
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000147395.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000147405.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	303294962
all	all	all	all	spanned-gaps	293
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	25599
all	all	all	all	scaffold-N50	23146
all	all	all	all	scaffold-L50	3204
all	all	all	all	scaffold-N75	10674
all	all	all	all	scaffold-N90	5100
all	all	all	all	contig-count	25892
all	all	all	all	contig-N50	22955
all	all	all	all	contig-L50	3430
all	all	all	all	total-gap-length	29600
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	25599
all	all	all	all	component-count	25753
Primary Assembly	all	all	all	total-length	303294962
Primary Assembly	all	all	all	ungapped-length	303265362
Primary Assembly	all	all	all	scaffold-count	25599
Primary Assembly	all	all	all	scaffold-N50	23146
Primary Assembly	all	all	all	spanned-gaps	293
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	303294962
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	303265362
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	25599
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	23146
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	293
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	32528116
Primary Assembly	1	Chromosome	all	ungapped-length	32528116
Primary Assembly	1	Chromosome	all	scaffold-count	3128
Primary Assembly	1	Chromosome	all	scaffold-N50	20386
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	0
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	0
