# Assembly Statistics Report
# Assembly name:  Theobroma_cacao_20110822
# Organism name:  Theobroma cacao (cacao)
# Infraspecific name:  cultivar=Matina 1-6
# Taxid:          3641
# BioSample:      SAMN02981445
# BioProject:     PRJNA51633
# Submitter:      Cacao genome consortium
# Date:           2013-05-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ALXC01
# Assembly method: Jeremy Schmutz v. 2011-08-01
# Expected final version: no
# Genome coverage: 15.58x
# Sequencing technology: 454; Illumina; Sanger
# GenBank assembly accession: GCA_000403535.1
# RefSeq assembly accession: GCF_000403535.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000403545.1	GCF_000403545.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	345993675
all	all	all	all	spanned-gaps	19289
all	all	all	all	unspanned-gaps	103
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	814
all	all	all	all	scaffold-N50	4345749
all	all	all	all	scaffold-L50	26
all	all	all	all	scaffold-N75	2706696
all	all	all	all	scaffold-N90	1277569
all	all	all	all	contig-count	20103
all	all	all	all	contig-N50	84396
all	all	all	all	contig-L50	1080
all	all	all	all	total-gap-length	15172415
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	711
all	all	all	all	component-count	20103
Primary Assembly	all	all	all	total-length	345993675
Primary Assembly	all	all	all	ungapped-length	330821260
Primary Assembly	all	all	all	scaffold-count	814
Primary Assembly	all	all	all	scaffold-N50	4345749
Primary Assembly	all	all	all	spanned-gaps	19289
Primary Assembly	all	all	all	unspanned-gaps	103
Primary Assembly	all	all	assembled-molecule	total-length	330456197
Primary Assembly	all	all	assembled-molecule	ungapped-length	319758829
Primary Assembly	all	all	assembled-molecule	scaffold-count	113
Primary Assembly	all	all	assembled-molecule	scaffold-N50	4486862
Primary Assembly	all	all	assembled-molecule	spanned-gaps	13347
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	103
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	15537478
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	11062431
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	701
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	87458
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	5942
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	38988864
Primary Assembly	1	Chromosome	all	ungapped-length	37960978
Primary Assembly	1	Chromosome	all	scaffold-count	14
Primary Assembly	1	Chromosome	all	scaffold-N50	7436102
