# Assembly Statistics Report
# Assembly name:  ValleyOak3.0
# Organism name:  Quercus lobata (valley oak)
# Isolate:  SW786
# Taxid:          97700
# BioSample:      SAMN10584531
# BioProject:     PRJNA308314
# Submitter:      University of Maryland Center for Environmental Science
# Date:           2019-01-11
# Assembly type:  diploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LRBV02
# Assembly method: MaSuRCA v. 3.2.1; Dovetail HiRise v. 1
# Expected final version: yes
# Genome coverage: 280.0x
# Sequencing technology: Illumina HiSeq; PacBio; Dovetail
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001633185.3
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001633195.2		Primary Assembly
## GCA_003992335.1		haplotigs
## GCA_001633205.3		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1277007229
all	all	all	all	spanned-gaps	2231
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	18598
all	all	all	all	scaffold-N50	55012092
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	106781
all	all	all	all	scaffold-N90	32495
all	all	all	all	contig-count	20829
all	all	all	all	contig-N50	490506
all	all	all	all	contig-L50	557
all	all	all	all	total-gap-length	3125249
all	all	all	all	molecule-count	14
all	all	all	all	top-level-count	18598
all	all	all	all	component-count	18598
Primary Assembly	all	all	all	total-length	846070421
Primary Assembly	all	all	all	ungapped-length	844142372
Primary Assembly	all	all	all	scaffold-count	2010
Primary Assembly	all	all	all	scaffold-N50	66423012
Primary Assembly	all	all	all	spanned-gaps	1674
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	812740008
Primary Assembly	all	all	assembled-molecule	ungapped-length	811082709
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	66423012
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1551
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	141117
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	141117
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	1
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	141117
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	33189296
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	32918546
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1997
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	55061
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	123
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	55683757
Primary Assembly	1	Chromosome	all	ungapped-length	55605220
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	55683757
Primary Assembly	1	Chromosome	all	spanned-gaps	77
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	55683757
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	55605220
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	55683757
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	77
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	104577665
Primary Assembly	2	Chromosome	all	ungapped-length	104405228
Primary Assembly	2	Chromosome	all	scaffold-count	2
Primary Assembly	2	Chromosome	all	scaffold-N50	104436548
Primary Assembly	2	Chromosome	all	spanned-gaps	168
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	104436548
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	104264111
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	104436548
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	168
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	141117
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	141117
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	141117
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	74551540
Primary Assembly	3	Chromosome	all	ungapped-length	74344002
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	74551540
Primary Assembly	3	Chromosome	all	spanned-gaps	170
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	74551540
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	74344002
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	74551540
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	170
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	97794414
Primary Assembly	4	Chromosome	all	ungapped-length	97588021
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	97794414
Primary Assembly	4	Chromosome	all	spanned-gaps	191
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	97794414
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	97588021
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	97794414
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	191
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	89479036
Primary Assembly	5	Chromosome	all	ungapped-length	89312553
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	89479036
Primary Assembly	5	Chromosome	all	spanned-gaps	167
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	89479036
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	89312553
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	89479036
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	167
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
