# Assembly Statistics Report
# Assembly name:  Oryza_meridionalis_v1.3
# Organism name:  Oryza meridionalis (Australian wild rice)
# Infraspecific name:  cultivar=OR44 (W2112)
# Taxid:          40149
# BioSample:      SAMN02981442
# BioProject:     PRJNA48433
# Submitter:      Oryza Map Alignment Project (OMAP)
# Date:           2014-02-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ALNW02
# Assembly method: ABySS v. 1.3.6
# Genome coverage: 166.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000338895.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000338905.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	335668232
all	all	all	all	spanned-gaps	62766
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	62778
all	all	all	all	contig-N50	9149
all	all	all	all	contig-L50	7991
all	all	all	all	total-gap-length	80023882
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	12
all	all	all	all	component-count	62778
Primary Assembly	all	all	all	total-length	335668232
Primary Assembly	all	all	all	ungapped-length	255644350
Primary Assembly	all	all	all	spanned-gaps	62766
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	335668232
Primary Assembly	all	all	assembled-molecule	ungapped-length	255644350
Primary Assembly	all	all	assembled-molecule	spanned-gaps	62766
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	41795227
Primary Assembly	1	Chromosome	all	ungapped-length	33387904
Primary Assembly	1	Chromosome	all	spanned-gaps	7167
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	41795227
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	33387904
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	7167
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
