# Assembly Statistics Report
# Assembly name:  WHFS_GmZH35_1.0
# Organism name:  Glycine max (soybean)
# Infraspecific name:  cultivar=Zhonghuang 35
# Taxid:          3847
# BioSample:      SAMN12622415
# BioProject:     PRJNA561626
# Submitter:      Frasergen Bioinformatics Inc
# Date:           2020-08-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WIWZ01
# Assembly method: FALCON v. 2.0; CANU v. 1.7
# Expected final version: no
# Genome coverage: 50.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_014282075.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014282205.1		Primary Assembly
## GCA_014282225.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1001328948
all	all	all	all	spanned-gaps	2922
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	460
all	all	all	all	scaffold-N50	50499666
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	46647028
all	all	all	all	scaffold-N90	42611340
all	all	all	all	contig-count	3382
all	all	all	all	contig-N50	1412434
all	all	all	all	contig-L50	151
all	all	all	all	total-gap-length	1408840
all	all	all	all	molecule-count	21
all	all	all	all	top-level-count	460
all	all	all	all	component-count	460
Primary Assembly	all	all	all	total-length	1001244525
Primary Assembly	all	all	all	ungapped-length	999835685
Primary Assembly	all	all	all	scaffold-count	457
Primary Assembly	all	all	all	scaffold-N50	50499666
Primary Assembly	all	all	all	spanned-gaps	2922
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	990180629
Primary Assembly	all	all	assembled-molecule	ungapped-length	988786843
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	50499666
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2891
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	11063896
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	11048842
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	437
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	29423
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	31
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	59001249
Primary Assembly	1	Chromosome	all	ungapped-length	58932011
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	59001249
Primary Assembly	1	Chromosome	all	spanned-gaps	144
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	59001249
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	58932011
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	59001249
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	144
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	51381767
Primary Assembly	2	Chromosome	all	ungapped-length	51329063
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	51381767
Primary Assembly	2	Chromosome	all	spanned-gaps	110
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	51381767
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	51329063
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	51381767
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	110
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	47582758
Primary Assembly	3	Chromosome	all	ungapped-length	47531882
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	47582758
Primary Assembly	3	Chromosome	all	spanned-gaps	105
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	47582758
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	47531882
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	47582758
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	105
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
