# Assembly Statistics Report
# Assembly name:  ASM1418299v1
# Organism name:  Solanum tuberosum (potato)
# Isolate:  E4-63
# Taxid:          4113
# BioSample:      SAMN15402099
# BioProject:     PRJNA641265
# Submitter:      Chinese Academy of Agricultural Sciences
# Date:           2020-08-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACAVS01
# Assembly method: Flye v. 2.7
# Expected final version: no
# Genome coverage: 1.0x
# Sequencing technology: PacBio Sequel II
# GenBank assembly accession: GCA_014182995.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014183045.1		Primary Assembly
## GCA_014183065.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	740243798
all	all	all	all	spanned-gaps	491
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	312
all	all	all	all	scaffold-N50	60321838
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	55457104
all	all	all	all	scaffold-N90	46237615
all	all	all	all	contig-count	803
all	all	all	all	contig-N50	3887276
all	all	all	all	contig-L50	55
all	all	all	all	total-gap-length	245500
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	312
all	all	all	all	component-count	312
Primary Assembly	all	all	all	total-length	740063379
Primary Assembly	all	all	all	ungapped-length	739817879
Primary Assembly	all	all	all	scaffold-count	308
Primary Assembly	all	all	all	scaffold-N50	60321838
Primary Assembly	all	all	all	spanned-gaps	491
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	730235723
Primary Assembly	all	all	assembled-molecule	ungapped-length	729990223
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	60321838
Primary Assembly	all	all	assembled-molecule	spanned-gaps	491
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	9827656
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	9827656
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	296
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	102743
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	89500634
Primary Assembly	1	Chromosome	all	ungapped-length	89470634
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	89500634
Primary Assembly	1	Chromosome	all	spanned-gaps	60
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	89500634
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	89470634
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	89500634
