# Assembly Statistics Report
# Assembly name:  ASM1463601v1
# Organism name:  Oryza sativa (rice)
# Infraspecific name:  cultivar=9311
# Taxid:          4530
# BioSample:      SAMN13829612
# BioProject:     PRJNA644721
# Submitter:      GrandOmics Biosciences
# Date:           2020-09-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACJVK01
# Assembly method: canu v. 1.9
# Expected final version: no
# Genome coverage: 50.0x
# Sequencing technology: Pacbio Sequel II
# GenBank assembly accession: GCA_014636015.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014636075.1		Primary Assembly
## GCA_014636135.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	404810614
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	389
all	all	all	all	scaffold-N50	17256392
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	10539340
all	all	all	all	scaffold-N90	4498344
all	all	all	all	contig-count	389
all	all	all	all	contig-N50	17256392
all	all	all	all	contig-L50	8
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	14
all	all	all	all	top-level-count	389
all	all	all	all	component-count	389
Primary Assembly	all	all	all	total-length	403467076
Primary Assembly	all	all	all	ungapped-length	403467076
Primary Assembly	all	all	all	scaffold-count	327
Primary Assembly	all	all	all	scaffold-N50	17256392
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	97232577
Primary Assembly	all	all	assembled-molecule	ungapped-length	97232577
Primary Assembly	all	all	assembled-molecule	scaffold-count	3
Primary Assembly	all	all	assembled-molecule	scaffold-N50	30831442
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	301289117
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	301289117
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	106
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	14873549
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	4945382
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	4945382
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	218
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	24132
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	44648395
Primary Assembly	1	Chromosome	all	ungapped-length	44648395
