# Assembly Statistics Report
# Assembly name:  ASM883128v1
# Organism name:  Nymphaea colorata (flowering plants)
# Isolate:  Beijing-Zhang1983
# Taxid:          210225
# BioSample:      SAMN12766378
# BioProject:     PRJNA565347
# Submitter:      Fujian Agriculture and Forestry University
# Date:           2019-10-07
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VYXN01
# Assembly method: CANU v. 1.3
# Expected final version: yes
# Genome coverage: 124.0x
# Sequencing technology: PacBio RSII; Hi-C
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_008831285.1
# RefSeq assembly accession: GCF_008831285.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_008831295.1	GCF_008831295.1	Primary Assembly
## 	GCF_009594845.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	408396728
all	all	all	all	spanned-gaps	625
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	799
all	all	all	all	scaffold-N50	25516871
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	24319297
all	all	all	all	scaffold-N90	12577093
all	all	all	all	contig-count	1424
all	all	all	all	contig-N50	2136418
all	all	all	all	contig-L50	45
all	all	all	all	total-gap-length	62500
all	all	all	all	molecule-count	14
all	all	all	all	top-level-count	799
all	all	all	all	component-count	1424
Primary Assembly	all	all	all	total-length	408396728
Primary Assembly	all	all	all	ungapped-length	408334228
Primary Assembly	all	all	all	scaffold-count	799
Primary Assembly	all	all	all	scaffold-N50	25516871
Primary Assembly	all	all	all	spanned-gaps	625
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	371672473
Primary Assembly	all	all	assembled-molecule	ungapped-length	371617273
Primary Assembly	all	all	assembled-molecule	scaffold-count	14
Primary Assembly	all	all	assembled-molecule	scaffold-N50	26301438
Primary Assembly	all	all	assembled-molecule	spanned-gaps	552
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	36724255
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	36716955
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	785
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	44954
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	73
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	44612865
Primary Assembly	1	Chromosome	all	ungapped-length	44609765
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	44612865
Primary Assembly	1	Chromosome	all	spanned-gaps	31
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	44612865
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	44609765
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	44612865
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	31
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	36266568
Primary Assembly	2	Chromosome	all	ungapped-length	36264768
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	36266568
Primary Assembly	2	Chromosome	all	spanned-gaps	18
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	36266568
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	36264768
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	36266568
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	18
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
