# Assembly Statistics Report
# Assembly name:  ASM1463336v1
# Organism name:  Diospyros lotus (eudicots)
# Infraspecific name:  cultivar=Yz01
# Taxid:          55363
# BioSample:      SAMN15573978
# BioProject:     PRJNA646788
# Submitter:      BEIJING ACADEMY OF FORESTRY AND POMOLOGY SCIENCES
# Date:           2020-09-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACRTX01
# Assembly method: canu v. 1.5
# Expected final version: yes
# Genome coverage: 167x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_014633365.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014633395.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	630098508
all	all	all	all	spanned-gaps	606
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	42
all	all	all	all	scaffold-N50	42671757
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	38263550
all	all	all	all	scaffold-N90	34286129
all	all	all	all	contig-count	648
all	all	all	all	contig-N50	2380091
all	all	all	all	contig-L50	78
all	all	all	all	total-gap-length	63766
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	42
all	all	all	all	component-count	42
Primary Assembly	all	all	all	total-length	630098508
Primary Assembly	all	all	all	ungapped-length	630034742
Primary Assembly	all	all	all	scaffold-count	42
Primary Assembly	all	all	all	scaffold-N50	42671757
Primary Assembly	all	all	all	spanned-gaps	606
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	618976095
Primary Assembly	all	all	assembled-molecule	ungapped-length	618921895
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	42671757
Primary Assembly	all	all	assembled-molecule	spanned-gaps	542
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	11122413
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	11112847
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	27
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	7365342
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	64
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	54509687
Primary Assembly	1	Chromosome	all	ungapped-length	54505287
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	54509687
Primary Assembly	1	Chromosome	all	spanned-gaps	44
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	54509687
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	54505287
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	54509687
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	44
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	47758052
Primary Assembly	2	Chromosome	all	ungapped-length	47754652
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	47758052
Primary Assembly	2	Chromosome	all	spanned-gaps	34
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	47758052
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	47754652
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	47758052
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	34
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	42671757
Primary Assembly	3	Chromosome	all	ungapped-length	42668357
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	42671757
Primary Assembly	3	Chromosome	all	spanned-gaps	34
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	42671757
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	42668357
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	42671757
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	34
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	45053450
Primary Assembly	4	Chromosome	all	ungapped-length	45049150
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	45053450
Primary Assembly	4	Chromosome	all	spanned-gaps	43
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	45053450
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	45049150
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	45053450
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	43
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	43101168
Primary Assembly	5	Chromosome	all	ungapped-length	43096568
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	43101168
Primary Assembly	5	Chromosome	all	spanned-gaps	46
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	43101168
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	43096568
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	1
