# Assembly Statistics Report
# Assembly name:  ASM480121v2
# Organism name:  Citrullus lanatus (wild melon)
# Infraspecific name:  cultivar=Charleston Gray
# Taxid:          3654
# BioSample:      SAMN08380430
# BioProject:     PRJNA430899
# Submitter:      Cornell University
# Date:           2019-08-09
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VOOL01
# Assembly method: SOAPdenovo v. 2
# Expected final version: yes
# Genome coverage: 228.0x
# Sequencing technology: Illumina GAIIx; Illumina MiSeq; Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004801215.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004801225.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	397829775
all	all	all	all	spanned-gaps	13279
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	6794
all	all	all	all	scaffold-N50	33982080
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	31401978
all	all	all	all	scaffold-N90	27847472
all	all	all	all	contig-count	20073
all	all	all	all	contig-N50	48885
all	all	all	all	contig-L50	2293
all	all	all	all	total-gap-length	20618956
all	all	all	all	molecule-count	11
all	all	all	all	top-level-count	6794
all	all	all	all	component-count	6794
Primary Assembly	all	all	all	total-length	397829775
Primary Assembly	all	all	all	ungapped-length	377210819
Primary Assembly	all	all	all	scaffold-count	6794
Primary Assembly	all	all	all	scaffold-N50	33982080
Primary Assembly	all	all	all	spanned-gaps	13279
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	382566465
Primary Assembly	all	all	assembled-molecule	ungapped-length	364032813
Primary Assembly	all	all	assembled-molecule	scaffold-count	11
Primary Assembly	all	all	assembled-molecule	scaffold-N50	37313342
Primary Assembly	all	all	assembled-molecule	spanned-gaps	12693
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	15263310
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	13178006
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	6783
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	26144
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	586
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	39067590
Primary Assembly	1	Chromosome	all	ungapped-length	37181134
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	39067590
Primary Assembly	1	Chromosome	all	spanned-gaps	1345
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	39067590
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	37181134
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	39067590
