# Assembly Statistics Report
# Assembly name:  ASM966300v1
# Organism name:  Actinidia chinensis (eudicots)
# Infraspecific name:  cultivar=Hongyang
# Sex:  female
# Taxid:          3625
# BioSample:      SAMN12097858
# BioProject:     PRJNA549770
# Submitter:      Sichuan University
# Date:           2019-11-14
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VIGQ01
# Assembly method: Quickmerge v. 0.2; Canu v. 1.5; wtdbg v. 1.2.8; FALCON v. 0.7
# Expected final version: no
# Genome coverage: 63.0x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_009663005.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009663015.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	653926268
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	646
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2366
all	all	all	all	scaffold-N50	1433402
all	all	all	all	scaffold-L50	130
all	all	all	all	scaffold-N75	598038
all	all	all	all	scaffold-N90	127850
all	all	all	all	contig-count	2366
all	all	all	all	contig-N50	1433402
all	all	all	all	contig-L50	130
all	all	all	all	total-gap-length	64600
all	all	all	all	molecule-count	29
all	all	all	all	top-level-count	1720
all	all	all	all	component-count	2366
Primary Assembly	all	all	all	total-length	653926268
Primary Assembly	all	all	all	ungapped-length	653861668
Primary Assembly	all	all	all	scaffold-count	2366
Primary Assembly	all	all	all	scaffold-N50	1433402
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	646
Primary Assembly	all	all	assembled-molecule	total-length	583182416
Primary Assembly	all	all	assembled-molecule	ungapped-length	583117816
Primary Assembly	all	all	assembled-molecule	scaffold-count	675
Primary Assembly	all	all	assembled-molecule	scaffold-N50	1618651
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	646
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	70743852
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	70743852
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1691
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	47238
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	LG1	Chromosome	all	total-length	19750782
Primary Assembly	LG1	Chromosome	all	ungapped-length	19748982
Primary Assembly	LG1	Chromosome	all	scaffold-count	19
Primary Assembly	LG1	Chromosome	all	scaffold-N50	2398842
Primary Assembly	LG1	Chromosome	all	spanned-gaps	0
Primary Assembly	LG1	Chromosome	all	unspanned-gaps	18
Primary Assembly	LG1	Chromosome	assembled-molecule	total-length	19750782
Primary Assembly	LG1	Chromosome	assembled-molecule	ungapped-length	19748982
Primary Assembly	LG1	Chromosome	assembled-molecule	scaffold-count	19
Primary Assembly	LG1	Chromosome	assembled-molecule	scaffold-N50	2398842
Primary Assembly	LG1	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG1	Chromosome	assembled-molecule	unspanned-gaps	18
Primary Assembly	LG1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG2	Chromosome	all	total-length	18517491
Primary Assembly	LG2	Chromosome	all	ungapped-length	18515391
Primary Assembly	LG2	Chromosome	all	scaffold-count	22
Primary Assembly	LG2	Chromosome	all	scaffold-N50	3562446
Primary Assembly	LG2	Chromosome	all	spanned-gaps	0
Primary Assembly	LG2	Chromosome	all	unspanned-gaps	21
Primary Assembly	LG2	Chromosome	assembled-molecule	total-length	18517491
Primary Assembly	LG2	Chromosome	assembled-molecule	ungapped-length	18515391
Primary Assembly	LG2	Chromosome	assembled-molecule	scaffold-count	22
Primary Assembly	LG2	Chromosome	assembled-molecule	scaffold-N50	3562446
Primary Assembly	LG2	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG2	Chromosome	assembled-molecule	unspanned-gaps	21
Primary Assembly	LG2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG3	Chromosome	all	total-length	23965478
Primary Assembly	LG3	Chromosome	all	ungapped-length	23962678
Primary Assembly	LG3	Chromosome	all	scaffold-count	29
Primary Assembly	LG3	Chromosome	all	scaffold-N50	1462837
Primary Assembly	LG3	Chromosome	all	spanned-gaps	0
Primary Assembly	LG3	Chromosome	all	unspanned-gaps	28
Primary Assembly	LG3	Chromosome	assembled-molecule	total-length	23965478
Primary Assembly	LG3	Chromosome	assembled-molecule	ungapped-length	23962678
Primary Assembly	LG3	Chromosome	assembled-molecule	scaffold-count	29
Primary Assembly	LG3	Chromosome	assembled-molecule	scaffold-N50	1462837
Primary Assembly	LG3	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG3	Chromosome	assembled-molecule	unspanned-gaps	28
Primary Assembly	LG3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG4	Chromosome	all	total-length	13859947
Primary Assembly	LG4	Chromosome	all	ungapped-length	13858547
Primary Assembly	LG4	Chromosome	all	scaffold-count	15
Primary Assembly	LG4	Chromosome	all	scaffold-N50	1433402
Primary Assembly	LG4	Chromosome	all	spanned-gaps	0
Primary Assembly	LG4	Chromosome	all	unspanned-gaps	14
Primary Assembly	LG4	Chromosome	assembled-molecule	total-length	13859947
Primary Assembly	LG4	Chromosome	assembled-molecule	ungapped-length	13858547
Primary Assembly	LG4	Chromosome	assembled-molecule	scaffold-count	15
Primary Assembly	LG4	Chromosome	assembled-molecule	scaffold-N50	1433402
Primary Assembly	LG4	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG4	Chromosome	assembled-molecule	unspanned-gaps	14
Primary Assembly	LG4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG5	Chromosome	all	total-length	19917948
Primary Assembly	LG5	Chromosome	all	ungapped-length	19915748
Primary Assembly	LG5	Chromosome	all	scaffold-count	23
Primary Assembly	LG5	Chromosome	all	scaffold-N50	1761109
Primary Assembly	LG5	Chromosome	all	spanned-gaps	0
Primary Assembly	LG5	Chromosome	all	unspanned-gaps	22
Primary Assembly	LG5	Chromosome	assembled-molecule	total-length	19917948
Primary Assembly	LG5	Chromosome	assembled-molecule	ungapped-length	19915748
Primary Assembly	LG5	Chromosome	assembled-molecule	scaffold-count	23
Primary Assembly	LG5	Chromosome	assembled-molecule	scaffold-N50	1761109
Primary Assembly	LG5	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG5	Chromosome	assembled-molecule	unspanned-gaps	22
Primary Assembly	LG5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG6	Chromosome	all	total-length	20157364
Primary Assembly	LG6	Chromosome	all	ungapped-length	20155364
Primary Assembly	LG6	Chromosome	all	scaffold-count	21
Primary Assembly	LG6	Chromosome	all	scaffold-N50	2049519
Primary Assembly	LG6	Chromosome	all	spanned-gaps	0
Primary Assembly	LG6	Chromosome	all	unspanned-gaps	20
Primary Assembly	LG6	Chromosome	assembled-molecule	total-length	20157364
Primary Assembly	LG6	Chromosome	assembled-molecule	ungapped-length	20155364
Primary Assembly	LG6	Chromosome	assembled-molecule	scaffold-count	21
Primary Assembly	LG6	Chromosome	assembled-molecule	scaffold-N50	2049519
Primary Assembly	LG6	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG6	Chromosome	assembled-molecule	unspanned-gaps	20
Primary Assembly	LG6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG7	Chromosome	all	total-length	19959221
Primary Assembly	LG7	Chromosome	all	ungapped-length	19956921
Primary Assembly	LG7	Chromosome	all	scaffold-count	24
Primary Assembly	LG7	Chromosome	all	scaffold-N50	1674176
Primary Assembly	LG7	Chromosome	all	spanned-gaps	0
Primary Assembly	LG7	Chromosome	all	unspanned-gaps	23
Primary Assembly	LG7	Chromosome	assembled-molecule	total-length	19959221
Primary Assembly	LG7	Chromosome	assembled-molecule	ungapped-length	19956921
Primary Assembly	LG7	Chromosome	assembled-molecule	scaffold-count	24
Primary Assembly	LG7	Chromosome	assembled-molecule	scaffold-N50	1674176
Primary Assembly	LG7	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG7	Chromosome	assembled-molecule	unspanned-gaps	23
Primary Assembly	LG7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG8	Chromosome	all	total-length	27139696
Primary Assembly	LG8	Chromosome	all	ungapped-length	27136096
Primary Assembly	LG8	Chromosome	all	scaffold-count	37
Primary Assembly	LG8	Chromosome	all	scaffold-N50	1208360
Primary Assembly	LG8	Chromosome	all	spanned-gaps	0
Primary Assembly	LG8	Chromosome	all	unspanned-gaps	36
Primary Assembly	LG8	Chromosome	assembled-molecule	total-length	27139696
Primary Assembly	LG8	Chromosome	assembled-molecule	ungapped-length	27136096
Primary Assembly	LG8	Chromosome	assembled-molecule	scaffold-count	37
Primary Assembly	LG8	Chromosome	assembled-molecule	scaffold-N50	1208360
Primary Assembly	LG8	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG8	Chromosome	assembled-molecule	unspanned-gaps	36
Primary Assembly	LG8	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG8	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG8	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG8	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG8	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG8	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG9	Chromosome	all	total-length	17376422
Primary Assembly	LG9	Chromosome	all	ungapped-length	17374122
Primary Assembly	LG9	Chromosome	all	scaffold-count	24
Primary Assembly	LG9	Chromosome	all	scaffold-N50	1393370
Primary Assembly	LG9	Chromosome	all	spanned-gaps	0
Primary Assembly	LG9	Chromosome	all	unspanned-gaps	23
Primary Assembly	LG9	Chromosome	assembled-molecule	total-length	17376422
Primary Assembly	LG9	Chromosome	assembled-molecule	ungapped-length	17374122
Primary Assembly	LG9	Chromosome	assembled-molecule	scaffold-count	24
Primary Assembly	LG9	Chromosome	assembled-molecule	scaffold-N50	1393370
Primary Assembly	LG9	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG9	Chromosome	assembled-molecule	unspanned-gaps	23
Primary Assembly	LG9	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG9	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG9	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG9	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG9	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG9	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG10	Chromosome	all	total-length	21150626
Primary Assembly	LG10	Chromosome	all	ungapped-length	21148726
Primary Assembly	LG10	Chromosome	all	scaffold-count	20
Primary Assembly	LG10	Chromosome	all	scaffold-N50	2400000
Primary Assembly	LG10	Chromosome	all	spanned-gaps	0
Primary Assembly	LG10	Chromosome	all	unspanned-gaps	19
Primary Assembly	LG10	Chromosome	assembled-molecule	total-length	21150626
Primary Assembly	LG10	Chromosome	assembled-molecule	ungapped-length	21148726
Primary Assembly	LG10	Chromosome	assembled-molecule	scaffold-count	20
Primary Assembly	LG10	Chromosome	assembled-molecule	scaffold-N50	2400000
Primary Assembly	LG10	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG10	Chromosome	assembled-molecule	unspanned-gaps	19
Primary Assembly	LG10	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG10	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG10	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG10	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG10	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG10	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG11	Chromosome	all	total-length	16126628
Primary Assembly	LG11	Chromosome	all	ungapped-length	16124628
Primary Assembly	LG11	Chromosome	all	scaffold-count	21
Primary Assembly	LG11	Chromosome	all	scaffold-N50	1031247
Primary Assembly	LG11	Chromosome	all	spanned-gaps	0
Primary Assembly	LG11	Chromosome	all	unspanned-gaps	20
Primary Assembly	LG11	Chromosome	assembled-molecule	total-length	16126628
Primary Assembly	LG11	Chromosome	assembled-molecule	ungapped-length	16124628
Primary Assembly	LG11	Chromosome	assembled-molecule	scaffold-count	21
Primary Assembly	LG11	Chromosome	assembled-molecule	scaffold-N50	1031247
Primary Assembly	LG11	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG11	Chromosome	assembled-molecule	unspanned-gaps	20
Primary Assembly	LG11	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG11	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG11	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG11	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG11	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG11	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG12	Chromosome	all	total-length	21937663
Primary Assembly	LG12	Chromosome	all	ungapped-length	21935163
Primary Assembly	LG12	Chromosome	all	scaffold-count	26
Primary Assembly	LG12	Chromosome	all	scaffold-N50	2004414
Primary Assembly	LG12	Chromosome	all	spanned-gaps	0
Primary Assembly	LG12	Chromosome	all	unspanned-gaps	25
Primary Assembly	LG12	Chromosome	assembled-molecule	total-length	21937663
Primary Assembly	LG12	Chromosome	assembled-molecule	ungapped-length	21935163
Primary Assembly	LG12	Chromosome	assembled-molecule	scaffold-count	26
Primary Assembly	LG12	Chromosome	assembled-molecule	scaffold-N50	2004414
Primary Assembly	LG12	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG12	Chromosome	assembled-molecule	unspanned-gaps	25
Primary Assembly	LG12	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG12	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG12	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG12	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG12	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG12	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG13	Chromosome	all	total-length	20157352
Primary Assembly	LG13	Chromosome	all	ungapped-length	20155152
Primary Assembly	LG13	Chromosome	all	scaffold-count	23
Primary Assembly	LG13	Chromosome	all	scaffold-N50	1347533
Primary Assembly	LG13	Chromosome	all	spanned-gaps	0
Primary Assembly	LG13	Chromosome	all	unspanned-gaps	22
Primary Assembly	LG13	Chromosome	assembled-molecule	total-length	20157352
Primary Assembly	LG13	Chromosome	assembled-molecule	ungapped-length	20155152
Primary Assembly	LG13	Chromosome	assembled-molecule	scaffold-count	23
Primary Assembly	LG13	Chromosome	assembled-molecule	scaffold-N50	1347533
Primary Assembly	LG13	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG13	Chromosome	assembled-molecule	unspanned-gaps	22
Primary Assembly	LG13	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG13	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG13	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG13	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG13	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG13	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG14	Chromosome	all	total-length	17560777
Primary Assembly	LG14	Chromosome	all	ungapped-length	17558477
Primary Assembly	LG14	Chromosome	all	scaffold-count	24
Primary Assembly	LG14	Chromosome	all	scaffold-N50	1331198
Primary Assembly	LG14	Chromosome	all	spanned-gaps	0
Primary Assembly	LG14	Chromosome	all	unspanned-gaps	23
Primary Assembly	LG14	Chromosome	assembled-molecule	total-length	17560777
Primary Assembly	LG14	Chromosome	assembled-molecule	ungapped-length	17558477
Primary Assembly	LG14	Chromosome	assembled-molecule	scaffold-count	24
Primary Assembly	LG14	Chromosome	assembled-molecule	scaffold-N50	1331198
Primary Assembly	LG14	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG14	Chromosome	assembled-molecule	unspanned-gaps	23
Primary Assembly	LG14	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG14	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG14	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG14	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG14	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG14	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG15	Chromosome	all	total-length	18734495
Primary Assembly	LG15	Chromosome	all	ungapped-length	18732795
Primary Assembly	LG15	Chromosome	all	scaffold-count	18
Primary Assembly	LG15	Chromosome	all	scaffold-N50	1810594
Primary Assembly	LG15	Chromosome	all	spanned-gaps	0
Primary Assembly	LG15	Chromosome	all	unspanned-gaps	17
Primary Assembly	LG15	Chromosome	assembled-molecule	total-length	18734495
Primary Assembly	LG15	Chromosome	assembled-molecule	ungapped-length	18732795
Primary Assembly	LG15	Chromosome	assembled-molecule	scaffold-count	18
Primary Assembly	LG15	Chromosome	assembled-molecule	scaffold-N50	1810594
Primary Assembly	LG15	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG15	Chromosome	assembled-molecule	unspanned-gaps	17
Primary Assembly	LG15	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG15	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG15	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG15	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG15	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG15	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG16	Chromosome	all	total-length	26128227
Primary Assembly	LG16	Chromosome	all	ungapped-length	26124527
Primary Assembly	LG16	Chromosome	all	scaffold-count	38
Primary Assembly	LG16	Chromosome	all	scaffold-N50	1827550
Primary Assembly	LG16	Chromosome	all	spanned-gaps	0
Primary Assembly	LG16	Chromosome	all	unspanned-gaps	37
Primary Assembly	LG16	Chromosome	assembled-molecule	total-length	26128227
Primary Assembly	LG16	Chromosome	assembled-molecule	ungapped-length	26124527
Primary Assembly	LG16	Chromosome	assembled-molecule	scaffold-count	38
Primary Assembly	LG16	Chromosome	assembled-molecule	scaffold-N50	1827550
Primary Assembly	LG16	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG16	Chromosome	assembled-molecule	unspanned-gaps	37
Primary Assembly	LG16	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG16	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG16	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG16	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG16	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG16	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG17	Chromosome	all	total-length	18641121
Primary Assembly	LG17	Chromosome	all	ungapped-length	18638321
Primary Assembly	LG17	Chromosome	all	scaffold-count	29
Primary Assembly	LG17	Chromosome	all	scaffold-N50	1300000
Primary Assembly	LG17	Chromosome	all	spanned-gaps	0
Primary Assembly	LG17	Chromosome	all	unspanned-gaps	28
Primary Assembly	LG17	Chromosome	assembled-molecule	total-length	18641121
Primary Assembly	LG17	Chromosome	assembled-molecule	ungapped-length	18638321
Primary Assembly	LG17	Chromosome	assembled-molecule	scaffold-count	29
Primary Assembly	LG17	Chromosome	assembled-molecule	scaffold-N50	1300000
Primary Assembly	LG17	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	LG17	Chromosome	assembled-molecule	unspanned-gaps	28
Primary Assembly	LG17	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	LG17	Chromosome	unlocalized-scaffold	ungapped-length	0
