# Assembly Statistics Report
# Assembly name:  PhaVulg1_0
# Organism name:  Phaseolus vulgaris (eudicots)
# Infraspecific name:  cultivar=G19833
# Taxid:          3885
# BioSample:      SAMN02981484
# BioProject:     PRJNA41439
# Submitter:      JGI
# Date:           2013-11-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    ANNZ01
# Assembly method: ARACHNE v. 20071016_modfied
# Genome coverage: 21.02X
# Sequencing technology: ABI 3730; Roche 454 FLX; Illumina GAII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000499845.1
# RefSeq assembly accession: GCF_000499845.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000499855.1	GCF_000499855.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	521076696
all	all	all	all	spanned-gaps	40860
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	708
all	all	all	all	scaffold-N50	50367376
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	43275151
all	all	all	all	scaffold-N90	37469608
all	all	all	all	contig-count	41568
all	all	all	all	contig-N50	39053
all	all	all	all	contig-L50	3305
all	all	all	all	total-gap-length	48622872
all	all	all	all	molecule-count	11
all	all	all	all	top-level-count	708
all	all	all	all	component-count	41568
Primary Assembly	all	all	all	total-length	521076696
Primary Assembly	all	all	all	ungapped-length	472453824
Primary Assembly	all	all	all	scaffold-count	708
Primary Assembly	all	all	all	scaffold-N50	50367376
Primary Assembly	all	all	all	spanned-gaps	40860
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	514820528
Primary Assembly	all	all	assembled-molecule	ungapped-length	468142729
Primary Assembly	all	all	assembled-molecule	scaffold-count	11
Primary Assembly	all	all	assembled-molecule	scaffold-N50	50367376
Primary Assembly	all	all	assembled-molecule	spanned-gaps	39949
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	6256168
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	4311095
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	697
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	31721
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	911
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	52205531
Primary Assembly	1	Chromosome	all	ungapped-length	47947134
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	52205531
