# Assembly Statistics Report
# Assembly name:  ASM1496433v1
# Organism name:  Solanum pimpinellifolium (currant tomato)
# Infraspecific name:  cultivar=LA2093
# Taxid:          4084
# BioSample:      SAMN14144803
# BioProject:     PRJNA607731
# Submitter:      Cornell University
# Date:           2020-10-26
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAONP01
# Assembly method: CANU v. 1.7.1
# Expected final version: yes
# Genome coverage: 96.0x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_014964335.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014964385.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	808099718
all	all	all	all	spanned-gaps	373
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	127
all	all	all	all	scaffold-N50	67155387
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	65797135
all	all	all	all	scaffold-N90	55625203
all	all	all	all	contig-count	500
all	all	all	all	contig-N50	10561219
all	all	all	all	contig-L50	23
all	all	all	all	total-gap-length	487215
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	127
all	all	all	all	component-count	127
Primary Assembly	all	all	all	total-length	808099718
Primary Assembly	all	all	all	ungapped-length	807612503
Primary Assembly	all	all	all	scaffold-count	127
Primary Assembly	all	all	all	scaffold-N50	67155387
Primary Assembly	all	all	all	spanned-gaps	373
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	800496654
Primary Assembly	all	all	assembled-molecule	ungapped-length	800009439
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	67155387
Primary Assembly	all	all	assembled-molecule	spanned-gaps	373
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	7603064
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	7603064
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	115
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	116295
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	95499177
Primary Assembly	1	Chromosome	all	ungapped-length	95478677
Primary Assembly	1	Chromosome	all	scaffold-count	1
