# Assembly Statistics Report
# Assembly name:  ASM1415589v1
# Organism name:  Allium sativum (garlic)
# Isolate:  Ershuizao
# Taxid:          4682
# BioSample:      SAMN14118376
# BioProject:     PRJNA606385
# Submitter:      Chinese Academy of Agricultural Sciences
# Date:           2020-08-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JABXWV01
# Assembly method: FALCON v. 1.0
# Expected final version: yes
# Genome coverage: 97.9x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_014155895.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014155925.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	16559448187
all	all	all	all	spanned-gaps	103327
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	18350
all	all	all	all	scaffold-N50	1651157214
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	1091574667
all	all	all	all	scaffold-N90	615889
all	all	all	all	contig-count	121677
all	all	all	all	contig-N50	193988
all	all	all	all	contig-L50	24782
all	all	all	all	total-gap-length	325117082
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	18350
all	all	all	all	component-count	18350
Primary Assembly	all	all	all	total-length	16559448187
Primary Assembly	all	all	all	ungapped-length	16234331105
Primary Assembly	all	all	all	scaffold-count	18350
Primary Assembly	all	all	all	scaffold-N50	1651157214
Primary Assembly	all	all	all	spanned-gaps	103327
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	12294059028
Primary Assembly	all	all	assembled-molecule	ungapped-length	12058928942
Primary Assembly	all	all	assembled-molecule	scaffold-count	7
Primary Assembly	all	all	assembled-molecule	scaffold-N50	1709169676
Primary Assembly	all	all	assembled-molecule	spanned-gaps	78292
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	2183149333
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	2142478625
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	2
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	1091574667
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	13548
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	2082239826
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	2032923538
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	18341
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	205594
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	11487
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	1858195865
