# Assembly Statistics Report
# Assembly name:  La_Amiga3.1
# Organism name:  Lupinus albus (white lupine)
# Infraspecific name:  cultivar=Amiga
# Isolate:  GWH2020
# Taxid:          3870
# BioSample:      SAMN12501103
# BioProject:     PRJNA592024
# Submitter:      Fujian Agriculture and Forestry University
# Date:           2020-02-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAEJY01
# Assembly method: Canu v. 1.8
# Expected final version: no
# Genome coverage: 140.0x
# Sequencing technology: PacBio RSII; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_010261695.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_010261705.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	558896430
all	all	all	all	spanned-gaps	1764
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1580
all	all	all	all	scaffold-N50	18661206
all	all	all	all	scaffold-L50	14
all	all	all	all	scaffold-N75	17071188
all	all	all	all	scaffold-N90	1674346
all	all	all	all	contig-count	3344
all	all	all	all	contig-N50	1656916
all	all	all	all	contig-L50	74
all	all	all	all	total-gap-length	1532853
all	all	all	all	molecule-count	25
all	all	all	all	top-level-count	1580
all	all	all	all	component-count	3171
Primary Assembly	all	all	all	total-length	558896430
Primary Assembly	all	all	all	ungapped-length	557363577
Primary Assembly	all	all	all	scaffold-count	1580
Primary Assembly	all	all	all	scaffold-N50	18661206
Primary Assembly	all	all	all	spanned-gaps	1764
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	474357667
Primary Assembly	all	all	assembled-molecule	ungapped-length	474198567
Primary Assembly	all	all	assembled-molecule	scaffold-count	25
Primary Assembly	all	all	assembled-molecule	scaffold-N50	19026298
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1591
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	84538763
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	83165010
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1555
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	545429
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	173
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	25248489
Primary Assembly	1	Chromosome	all	ungapped-length	25242389
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	25248489
Primary Assembly	1	Chromosome	all	spanned-gaps	61
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	25248489
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	25242389
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	25248489
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	61
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	21956312
Primary Assembly	2	Chromosome	all	ungapped-length	21951012
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	21956312
Primary Assembly	2	Chromosome	all	spanned-gaps	53
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	21956312
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	21951012
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	21956312
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	53
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	21600612
Primary Assembly	3	Chromosome	all	ungapped-length	21591212
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	21600612
Primary Assembly	3	Chromosome	all	spanned-gaps	94
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	21600612
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	21591212
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	21600612
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	94
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	20734107
Primary Assembly	4	Chromosome	all	ungapped-length	20722807
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	20734107
Primary Assembly	4	Chromosome	all	spanned-gaps	113
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	20734107
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	20722807
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	20734107
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	113
