# Assembly Statistics Report
# Assembly name:  ASM415031v1
# Organism name:  Actinidia eriantha (eudicots)
# Infraspecific name:  cultivar=White
# Taxid:          165200
# BioSample:      SAMN09643536
# BioProject:     PRJNA480681
# Submitter:      Cornell University
# Date:           2019-02-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QOVS01
# Assembly method: Canu v. 1.7; wtdbg v. 1; Quickmerge v. 0.2
# Expected final version: yes
# Genome coverage: 51.6x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004150315.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004150325.1		Primary Assembly
## GCA_004150335.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	690611029
all	all	all	all	spanned-gaps	2341
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1735
all	all	all	all	scaffold-N50	21642546
all	all	all	all	scaffold-L50	15
all	all	all	all	scaffold-N75	19692942
all	all	all	all	scaffold-N90	16127718
all	all	all	all	contig-count	4076
all	all	all	all	contig-N50	539246
all	all	all	all	contig-L50	344
all	all	all	all	total-gap-length	234100
all	all	all	all	molecule-count	31
all	all	all	all	top-level-count	1735
all	all	all	all	component-count	1735
Primary Assembly	all	all	all	total-length	689867039
Primary Assembly	all	all	all	ungapped-length	689632939
Primary Assembly	all	all	all	scaffold-count	1729
Primary Assembly	all	all	all	scaffold-N50	21642546
Primary Assembly	all	all	all	spanned-gaps	2341
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	634664748
Primary Assembly	all	all	assembled-molecule	ungapped-length	634430648
Primary Assembly	all	all	assembled-molecule	scaffold-count	29
Primary Assembly	all	all	assembled-molecule	scaffold-N50	21700789
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2341
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	55202291
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	55202291
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1700
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	37240
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	I	Chromosome	all	total-length	22379924
Primary Assembly	I	Chromosome	all	ungapped-length	22372024
Primary Assembly	I	Chromosome	all	scaffold-count	1
Primary Assembly	I	Chromosome	all	scaffold-N50	22379924
Primary Assembly	I	Chromosome	all	spanned-gaps	79
Primary Assembly	I	Chromosome	all	unspanned-gaps	0
Primary Assembly	I	Chromosome	assembled-molecule	total-length	22379924
Primary Assembly	I	Chromosome	assembled-molecule	ungapped-length	22372024
Primary Assembly	I	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	I	Chromosome	assembled-molecule	scaffold-N50	22379924
Primary Assembly	I	Chromosome	assembled-molecule	spanned-gaps	79
Primary Assembly	I	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	I	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	II	Chromosome	all	total-length	18693790
Primary Assembly	II	Chromosome	all	ungapped-length	18687090
Primary Assembly	II	Chromosome	all	scaffold-count	1
Primary Assembly	II	Chromosome	all	scaffold-N50	18693790
Primary Assembly	II	Chromosome	all	spanned-gaps	67
Primary Assembly	II	Chromosome	all	unspanned-gaps	0
Primary Assembly	II	Chromosome	assembled-molecule	total-length	18693790
Primary Assembly	II	Chromosome	assembled-molecule	ungapped-length	18687090
Primary Assembly	II	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	II	Chromosome	assembled-molecule	scaffold-N50	18693790
Primary Assembly	II	Chromosome	assembled-molecule	spanned-gaps	67
Primary Assembly	II	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	II	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	III	Chromosome	all	total-length	28018381
Primary Assembly	III	Chromosome	all	ungapped-length	28007181
Primary Assembly	III	Chromosome	all	scaffold-count	1
Primary Assembly	III	Chromosome	all	scaffold-N50	28018381
Primary Assembly	III	Chromosome	all	spanned-gaps	112
Primary Assembly	III	Chromosome	all	unspanned-gaps	0
Primary Assembly	III	Chromosome	assembled-molecule	total-length	28018381
Primary Assembly	III	Chromosome	assembled-molecule	ungapped-length	28007181
Primary Assembly	III	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	III	Chromosome	assembled-molecule	scaffold-N50	28018381
Primary Assembly	III	Chromosome	assembled-molecule	spanned-gaps	112
Primary Assembly	III	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	III	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	III	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	III	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	III	Chromosome	unlocalized-scaffold	scaffold-N50	0
