# Assembly Statistics Report
# Assembly name:  ASM303368v1
# Organism name:  Nelumbo nucifera (sacred lotus)
# Infraspecific name:  cultivar=China Antique
# Taxid:          4432
# BioSample:      SAMN02054413
# BioProject:     PRJNA397484
# Submitter:      Wuhan University
# Date:           2018-04-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    DLUB01
# Assembly method: AllPaths v. 40102; ALLMAPS v. June-2017
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq; 454
# GenBank assembly accession: GCA_003033685.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003033755.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	817267751
all	all	all	all	spanned-gaps	51470
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2341
all	all	all	all	scaffold-N50	109862362
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	67189144
all	all	all	all	scaffold-N90	62099800
all	all	all	all	contig-count	53811
all	all	all	all	contig-N50	44440
all	all	all	all	contig-L50	4649
all	all	all	all	total-gap-length	109501958
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	2341
all	all	all	all	component-count	2341
Primary Assembly	all	all	all	total-length	817267751
Primary Assembly	all	all	all	ungapped-length	707765793
Primary Assembly	all	all	all	scaffold-count	2341
Primary Assembly	all	all	all	scaffold-N50	109862362
Primary Assembly	all	all	all	spanned-gaps	51470
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	797677833
Primary Assembly	all	all	assembled-molecule	ungapped-length	699677485
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	109862362
Primary Assembly	all	all	assembled-molecule	spanned-gaps	48490
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	19589918
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	8088308
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2333
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	14202
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2980
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	215179614
Primary Assembly	1	Chromosome	all	ungapped-length	186185897
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	215179614
Primary Assembly	1	Chromosome	all	spanned-gaps	14123
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	total-length	215179614
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	186185897
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	215179614
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	14123
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	111157298
Primary Assembly	2	Chromosome	all	ungapped-length	97996378
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	111157298
Primary Assembly	2	Chromosome	all	spanned-gaps	6555
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	111157298
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	97996378
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	111157298
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	6555
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	109862362
Primary Assembly	3	Chromosome	all	ungapped-length	97066752
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	109862362
Primary Assembly	3	Chromosome	all	spanned-gaps	6365
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	109862362
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	97066752
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	109862362
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	6365
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	92295663
Primary Assembly	4	Chromosome	all	ungapped-length	80733420
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	92295663
Primary Assembly	4	Chromosome	all	spanned-gaps	5763
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	92295663
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	80733420
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	92295663
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	5763
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	80534711
Primary Assembly	5	Chromosome	all	ungapped-length	72578238
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	80534711
Primary Assembly	5	Chromosome	all	spanned-gaps	4313
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	80534711
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	72578238
