# Assembly Statistics Report
# Assembly name:  B73 RefGen_v4
# Description:    Zm-B73-REFERENCE-GRAMENE-4.0
# Organism name:  Zea mays (maize)
# Infraspecific name:  cultivar=B73
# Taxid:          4577
# BioSample:      SAMN04296295
# BioProject:     PRJNA10769
# Submitter:      maizesequence
# Date:           2017-02-07
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    LPUQ01
# Assembly method: Celera Assembler v. CA 8.3rc2
# Expected final version: yes
# Genome coverage: 65.0x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_000005005.6
# RefSeq assembly accession: GCF_000005005.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000005015.6	GCF_000005015.2	Primary Assembly
## 	GCF_000138815.2	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2134373047
all	all	all	all	spanned-gaps	2191
all	all	all	all	unspanned-gaps	331
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	596
all	all	all	all	scaffold-N50	10679170
all	all	all	all	scaffold-L50	62
all	all	all	all	scaffold-N75	6157474
all	all	all	all	scaffold-N90	3077178
all	all	all	all	contig-count	2787
all	all	all	all	contig-N50	1279870
all	all	all	all	contig-L50	506
all	all	all	all	total-gap-length	30732878
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	265
all	all	all	all	component-count	3128
Primary Assembly	all	all	all	total-length	2134373047
Primary Assembly	all	all	all	ungapped-length	2103640169
Primary Assembly	all	all	all	scaffold-count	596
Primary Assembly	all	all	all	scaffold-N50	10679170
Primary Assembly	all	all	all	spanned-gaps	2191
Primary Assembly	all	all	all	unspanned-gaps	331
Primary Assembly	all	all	assembled-molecule	total-length	2106338117
Primary Assembly	all	all	assembled-molecule	ungapped-length	2075605239
Primary Assembly	all	all	assembled-molecule	scaffold-count	341
Primary Assembly	all	all	assembled-molecule	scaffold-N50	10692278
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2191
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	331
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	28034930
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	28034930
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	255
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	103641
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	307041717
Primary Assembly	1	Chromosome	all	ungapped-length	303355124
Primary Assembly	1	Chromosome	all	scaffold-count	44
Primary Assembly	1	Chromosome	all	scaffold-N50	12677025
Primary Assembly	1	Chromosome	all	spanned-gaps	305
Primary Assembly	1	Chromosome	all	unspanned-gaps	43
Primary Assembly	1	Chromosome	assembled-molecule	total-length	307041717
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	303355124
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	44
