# Assembly Statistics Report
# Assembly name:  ASM561035v1
# Organism name:  Gossypioides kirkii (eudicots)
# Taxid:          47615
# BioSample:      SAMN08139005
# BioProject:     PRJNA421334
# Submitter:      NCGR
# Date:           2019-05-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: Canu v. 1.5
# Expected final version: yes
# Genome coverage: 68.0x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005610355.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005610445.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	538061146
all	all	all	all	spanned-gaps	275
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	287
all	all	all	all	contig-N50	8700000
all	all	all	all	contig-L50	18
all	all	all	all	total-gap-length	27600
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	12
all	all	all	all	component-count	12
Primary Assembly	all	all	all	total-length	538061146
Primary Assembly	all	all	all	ungapped-length	538033546
Primary Assembly	all	all	all	spanned-gaps	275
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	538061146
Primary Assembly	all	all	assembled-molecule	ungapped-length	538033546
Primary Assembly	all	all	assembled-molecule	spanned-gaps	275
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	KI_01	Chromosome	all	total-length	38174113
Primary Assembly	KI_01	Chromosome	all	ungapped-length	38173113
Primary Assembly	KI_01	Chromosome	all	spanned-gaps	10
Primary Assembly	KI_01	Chromosome	all	unspanned-gaps	0
Primary Assembly	KI_01	Chromosome	assembled-molecule	total-length	38174113
Primary Assembly	KI_01	Chromosome	assembled-molecule	ungapped-length	38173113
Primary Assembly	KI_01	Chromosome	assembled-molecule	spanned-gaps	10
Primary Assembly	KI_01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	KI_01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	KI_01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	KI_01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	KI_01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	KI_03	Chromosome	all	total-length	42061019
