# Assembly Statistics Report
# Assembly name:  NE-ME-NP-PH
# Organism name:  Prunus avium (sweet cherry)
# Infraspecific name:  cultivar=Tieton
# Taxid:          42229
# BioSample:      SAMN13640536
# BioProject:     PRJNA596862
# Submitter:      Shandong Institute of Pomology
# Date:           2020-08-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAOZG01
# Assembly method: Necat v. 0.01
# Expected final version: yes
# Genome coverage: 1.0x
# Sequencing technology: Oxford Nanopore PromethION; Illumina HiSeq
# GenBank assembly accession: GCA_014155035.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014155095.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	344341978
all	all	all	all	spanned-gaps	549
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	61
all	all	all	all	scaffold-N50	42624765
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	38835769
all	all	all	all	scaffold-N90	37373756
all	all	all	all	contig-count	610
all	all	all	all	contig-N50	3247195
all	all	all	all	contig-L50	32
all	all	all	all	total-gap-length	54900
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	61
all	all	all	all	component-count	61
Primary Assembly	all	all	all	total-length	344341978
Primary Assembly	all	all	all	ungapped-length	344287078
Primary Assembly	all	all	all	scaffold-count	61
Primary Assembly	all	all	all	scaffold-N50	42624765
Primary Assembly	all	all	all	spanned-gaps	549
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	342881614
Primary Assembly	all	all	assembled-molecule	ungapped-length	342826714
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	42624765
Primary Assembly	all	all	assembled-molecule	spanned-gaps	549
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	1460364
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	1460364
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	53
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	36342
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	62324707
Primary Assembly	1	Chromosome	all	ungapped-length	62318607
Primary Assembly	1	Chromosome	all	scaffold-count	1
