# Assembly Statistics Report
# Assembly name:  arahy.Tifrunner.gnm1.KYV3
# Organism name:  Arachis hypogaea (peanut)
# Infraspecific name:  cultivar=Tifrunner
# Taxid:          3818
# BioSample:      SAMN08051159
# BioProject:     PRJNA419393
# Submitter:      International Peanut Genome Initiative
# Date:           2018-05-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PIVG01
# Assembly method: MECAT v. 2017-07; Arrow v. 2017-07
# Expected final version: yes
# Genome coverage: 48.0x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003086295.2
# RefSeq assembly accession: GCF_003086295.2
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003086305.2	GCF_003086305.2	Primary Assembly
## 	GCF_003258585.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2556916893
all	all	all	all	spanned-gaps	3655
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	384
all	all	all	all	scaffold-N50	135150084
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	117088237
all	all	all	all	scaffold-N90	112420854
all	all	all	all	contig-count	4039
all	all	all	all	contig-N50	1498096
all	all	all	all	contig-L50	461
all	all	all	all	total-gap-length	3895359
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	384
all	all	all	all	component-count	384
Primary Assembly	all	all	all	total-length	2556916893
Primary Assembly	all	all	all	ungapped-length	2553021534
Primary Assembly	all	all	all	scaffold-count	384
Primary Assembly	all	all	all	scaffold-N50	135150084
Primary Assembly	all	all	all	spanned-gaps	3655
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	2538283725
Primary Assembly	all	all	assembled-molecule	ungapped-length	2534607674
Primary Assembly	all	all	assembled-molecule	scaffold-count	20
Primary Assembly	all	all	assembled-molecule	scaffold-N50	135150084
Primary Assembly	all	all	assembled-molecule	spanned-gaps	3444
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	18633168
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	18413860
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	364
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	322620
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	211
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	Arahy.01	Chromosome	all	total-length	112420854
Primary Assembly	Arahy.01	Chromosome	all	ungapped-length	112264854
Primary Assembly	Arahy.01	Chromosome	all	scaffold-count	1
Primary Assembly	Arahy.01	Chromosome	all	scaffold-N50	112420854
Primary Assembly	Arahy.01	Chromosome	all	spanned-gaps	156
Primary Assembly	Arahy.01	Chromosome	all	unspanned-gaps	0
Primary Assembly	Arahy.01	Chromosome	assembled-molecule	total-length	112420854
Primary Assembly	Arahy.01	Chromosome	assembled-molecule	ungapped-length	112264854
Primary Assembly	Arahy.01	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	Arahy.01	Chromosome	assembled-molecule	scaffold-N50	112420854
Primary Assembly	Arahy.01	Chromosome	assembled-molecule	spanned-gaps	156
Primary Assembly	Arahy.01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	Arahy.01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	Arahy.01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	Arahy.01	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	Arahy.01	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	Arahy.01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	Arahy.01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Arahy.02	Chromosome	all	total-length	102981163
Primary Assembly	Arahy.02	Chromosome	all	ungapped-length	102751163
Primary Assembly	Arahy.02	Chromosome	all	scaffold-count	1
Primary Assembly	Arahy.02	Chromosome	all	scaffold-N50	102981163
Primary Assembly	Arahy.02	Chromosome	all	spanned-gaps	194
Primary Assembly	Arahy.02	Chromosome	all	unspanned-gaps	0
Primary Assembly	Arahy.02	Chromosome	assembled-molecule	total-length	102981163
Primary Assembly	Arahy.02	Chromosome	assembled-molecule	ungapped-length	102751163
Primary Assembly	Arahy.02	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	Arahy.02	Chromosome	assembled-molecule	scaffold-N50	102981163
