# Assembly Statistics Report
# Assembly name:  ASM23057v5
# Organism name:  Cannabis sativa (eudicots)
# Infraspecific name:  cultivar=Purple Kush
# Taxid:          3483
# BioSample:      SAMN02981385
# BioProject:     PRJNA73819
# Submitter:      University of Toronto
# Date:           2018-11-30
# Assembly type:  haploid
# Release type:   minor
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AGQN03
# Assembly method: FALCON v. 0.4.0
# Expected final version: no
# Genome coverage: 79.0x
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_000230575.5
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000230585.5		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	891964663
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	6183
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	12836
all	all	all	all	scaffold-N50	133904
all	all	all	all	scaffold-L50	1924
all	all	all	all	scaffold-N75	70555
all	all	all	all	scaffold-N90	34723
all	all	all	all	contig-count	12836
all	all	all	all	contig-N50	133904
all	all	all	all	contig-L50	1924
all	all	all	all	total-gap-length	618300
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	6653
all	all	all	all	component-count	12836
Primary Assembly	all	all	all	total-length	891964663
Primary Assembly	all	all	all	ungapped-length	891346363
Primary Assembly	all	all	all	scaffold-count	12836
Primary Assembly	all	all	all	scaffold-N50	133904
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	6183
Primary Assembly	all	all	assembled-molecule	total-length	639672920
Primary Assembly	all	all	assembled-molecule	ungapped-length	639054620
Primary Assembly	all	all	assembled-molecule	scaffold-count	6193
Primary Assembly	all	all	assembled-molecule	scaffold-N50	152209
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	6183
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	252291743
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	252291743
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	6643
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	77515
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	79255070
Primary Assembly	1	Chromosome	all	ungapped-length	79173370
