# Assembly Statistics Report
# Assembly name:  ASM22429v2
# Organism name:  Linum usitatissimum (flax)
# Taxid:          4006
# BioSample:      SAMN00627887
# BioProject:     PRJNA68161
# Submitter:      TUFGEN
# Date:           2018-03-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: other v. 02
# Expected final version: no
# Genome coverage: 94.0x
# Sequencing technology: Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000224295.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000224305.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	316167074
all	all	all	all	spanned-gaps	24814
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	24829
all	all	all	all	contig-N50	23035
all	all	all	all	contig-L50	3563
all	all	all	all	total-gap-length	46572275
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	15
all	all	all	all	component-count	15
Primary Assembly	all	all	all	total-length	316167074
Primary Assembly	all	all	all	ungapped-length	269594799
Primary Assembly	all	all	all	spanned-gaps	24814
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	316167074
Primary Assembly	all	all	assembled-molecule	ungapped-length	269594799
Primary Assembly	all	all	assembled-molecule	spanned-gaps	24814
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Lu1	Chromosome	all	total-length	29425369
Primary Assembly	Lu1	Chromosome	all	ungapped-length	23962802
Primary Assembly	Lu1	Chromosome	all	spanned-gaps	2187
Primary Assembly	Lu1	Chromosome	all	unspanned-gaps	0
Primary Assembly	Lu1	Chromosome	assembled-molecule	total-length	29425369
Primary Assembly	Lu1	Chromosome	assembled-molecule	ungapped-length	23962802
Primary Assembly	Lu1	Chromosome	assembled-molecule	spanned-gaps	2187
Primary Assembly	Lu1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	Lu1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	Lu1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	Lu1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	Lu1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Lu10	Chromosome	all	total-length	18203127
Primary Assembly	Lu10	Chromosome	all	ungapped-length	16415826
Primary Assembly	Lu10	Chromosome	all	spanned-gaps	1496
Primary Assembly	Lu10	Chromosome	all	unspanned-gaps	0
Primary Assembly	Lu10	Chromosome	assembled-molecule	total-length	18203127
Primary Assembly	Lu10	Chromosome	assembled-molecule	ungapped-length	16415826
Primary Assembly	Lu10	Chromosome	assembled-molecule	spanned-gaps	1496
Primary Assembly	Lu10	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	Lu10	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	Lu10	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	Lu10	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	Lu10	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Lu11	Chromosome	all	total-length	19887771
Primary Assembly	Lu11	Chromosome	all	ungapped-length	17471931
Primary Assembly	Lu11	Chromosome	all	spanned-gaps	1449
Primary Assembly	Lu11	Chromosome	all	unspanned-gaps	0
Primary Assembly	Lu11	Chromosome	assembled-molecule	total-length	19887771
Primary Assembly	Lu11	Chromosome	assembled-molecule	ungapped-length	17471931
